T P_or P_and
0.3500 0.0000 0.8000
0.3514 0.0000 0.8000
0.3528 0.0000 0.8000
0.3542 0.0000 0.8000
0.3556 0.0000 0.8000
0.3570 0.0000 0.8000
0.3584 0.0000 0.8000
0.3598 0.0000 0.8000
0.3612 0.0000 0.8000
0.3626 0.0000 0.8000
0.3640 0.0000 0.8000
0.3654 0.0000 0.8000
0.3668 0.0000 0.8000
0.3682 0.0000 0.8000
0.3696 0.0000 0.8000
0.3710 0.0000 0.8000
0.3724 0.0000 0.8000
0.3738 0.0000 0.8000
0.3753 0.0000 0.8000
0.3767 0.0000 0.8000
0.3781 0.0000 0.8000
0.3795 0.0000 0.8000
0.3809 0.0000 0.8000
0.3823 0.0000 0.8000
0.3837 0.0000 0.8000
0.3851 0.0000 0.8000
0.3865 0.0000 0.8000
0.3879 0.0000 0.8000
0.3893 0.0000 0.8000
0.3907 0.0000 0.8000
0.3921 0.0000 0.8000
0.3935 0.0000 0.8000
0.3949 0.0000 0.8000
0.3963 0.0000 0.8000
0.3977 0.0000 0.8000
0.3991 0.0000 0.8000
0.4005 0.0000 0.8000
0.4019 0.0000 0.8000
0.4033 0.0000 0.8000
0.4047 0.0000 0.8000
0.4061 0.0000 0.8000
0.4075 0.0000 0.8000
0.4089 0.0000 0.8000
0.4103 0.0000 0.8000
0.4117 0.0000 0.8000
0.4131 0.0000 0.8000
0.4145 0.0000 0.8000
0.4159 0.0000 0.8000
0.4173 0.0000 0.8000
0.4187 0.0000 0.8000
0.4201 0.0000 0.8000
0.4215 0.0000 0.8000
0.4229 0.0000 0.8000
0.4243 0.0000 0.8000
0.4258 0.0000 0.8000
0.4272 0.0000 0.8000
0.4286 0.0000 0.8000
0.4300 0.0000 0.8000
0.4314 0.0000 0.8000
0.4328 0.0000 0.8000
0.4342 0.0000 0.8000
0.4356 0.0000 0.8000
0.4370 0.0000 0.8000
0.4384 0.0000 0.8000
0.4398 0.0000 0.8000
0.4412 0.0000 0.8000
0.4426 0.0000 0.8000
0.4440 0.0000 0.8000
0.4454 0.0000 0.8000
0.4468 0.0000 0.8000
0.4482 0.0000 0.8000
