T1 FAR1 FRR1 T2 FAR2 FRR2
-0.60000000 1.00000000 0.00000000 -0.80000000 1.00000000 0.00000000
-0.59884942 1.00000000 0.00000000 -0.79849925 1.00000000 0.00000000
-0.59769885 1.00000000 0.00000000 -0.79699850 1.00000000 0.00000000
-0.59654827 1.00000000 0.00000000 -0.79549775 1.00000000 0.00000000
-0.59539770 1.00000000 0.00000000 -0.79399700 1.00000000 0.00000000
-0.59424712 1.00000000 0.00000000 -0.79249625 1.00000000 0.00000000
-0.59309655 1.00000000 0.00000000 -0.79099550 1.00000000 0.00000000
-0.59194597 1.00000000 0.00000000 -0.78949475 1.00000000 0.00000000
-0.59079540 1.00000000 0.00000000 -0.78799400 1.00000000 0.00000000
-0.58964482 1.00000000 0.00000000 -0.78649325 1.00000000 0.00000000
-0.58849425 1.00000000 0.00000000 -0.78499250 1.00000000 0.00000000
-0.58734367 1.00000000 0.00000000 -0.78349175 1.00000000 0.00000000
-0.58619310 1.00000000 0.00000000 -0.78199100 1.00000000 0.00000000
-0.58504252 1.00000000 0.00000000 -0.78049025 1.00000000 0.00000000
-0.58389195 1.00000000 0.00000000 -0.77898949 1.00000000 0.00000000
-0.58274137 1.00000000 0.00000000 -0.77748874 1.00000000 0.00000000
-0.58159080 1.00000000 0.00000000 -0.77598799 1.00000000 0.00000000
-0.58044022 1.00000000 0.00000000 -0.77448724 1.00000000 0.00000000
-0.57928964 1.00000000 0.00000000 -0.77298649 1.00000000 0.00000000
-0.57813907 1.00000000 0.00000000 -0.77148574 1.00000000 0.00000000
-0.57698849 1.00000000 0.00000000 -0.76998499 1.00000000 0.00000000
-0.57583792 1.00000000 0.00000000 -0.76848424 1.00000000 0.00000000
-0.57468734 1.00000000 0.00000000 -0.76698349 1.00000000 0.00000000
-0.57353677 1.00000000 0.00000000 -0.76548274 1.00000000 0.00000000
-0.57238619 1.00000000 0.00000000 -0.76398199 1.00000000 0.00000000
-0.57123562 1.00000000 0.00000000 -0.76248124 1.00000000 0.00000000
-0.57008504 1.00000000 0.00000000 -0.76098049 1.00000000 0.00000000
-0.56893447 1.00000000 0.00000000 -0.75947974 1.00000000 0.00000000
-0.56778389 1.00000000 0.00000000 -0.75797899 1.00000000 0.00000000
-0.56663332 1.00000000 0.00000000 -0.75647824 1.00000000 0.00000000
-0.56548274 1.00000000 0.00000000 -0.75497749 1.00000000 0.00000000
-0.56433217 1.00000000 0.00000000 -0.75347674 1.00000000 0.00000000
-0.56318159 1.00000000 0.00000000 -0.75197599 1.00000000 0.00000000
-0.56203102 1.00000000 0.00000000 -0.75047524 1.00000000 0.00000000
-0.56088044 1.00000000 0.00000000 -0.74897449 1.00000000 0.00000000
-0.55972986 1.00000000 0.00000000 -0.74747374 1.00000000 0.00000000
-0.55857929 0.99999999 0.00000000 -0.74597299 1.00000000 0.00000000
-0.55742871 0.99999999 0.00000000 -0.74447224 1.00000000 0.00000000
-0.55627814 0.99999999 0.00000000 -0.74297149 1.00000000 0.00000000
-0.55512756 0.99999999 0.00000000 -0.74147074 1.00000000 0.00000000
-0.55397699 0.99999999 0.00000000 -0.73996998 1.00000000 0.00000000
-0.55282641 0.99999999 0.00000000 -0.73846923 1.00000000 0.00000000
-0.55167584 0.99999999 0.00000000 -0.73696848 1.00000000 0.00000000
-0.55052526 0.99999999 0.00000000 -0.73546773 1.00000000 0.00000000
-0.54937469 0.99999999 0.00000000 -0.73396698 1.00000000 0.00000000
-0.54822411 0.99999999 0.00000000 -0.73246623 1.00000000 0.00000000
-0.54707354 0.99999999 0.00000000 -0.73096548 1.00000000 0.00000000
-0.54592296 0.99999999 0.00000000 -0.72946473 1.00000000 0.00000000
-0.54477239 0.99999999 0.00000000 -0.72796398 1.00000000 0.00000000
-0.54362181 0.99999999 0.00000000 -0.72646323 1.00000000 0.00000000
-0.54247124 0.99999999 0.00000000 -0.72496248 1.00000000 0.00000000
-0.54132066 0.99999999 0.00000000 -0.72346173 1.00000000 0.00000000
-0.54017009 0.99999999 0.00000000 -0.72196098 1.00000000 0.00000000
-0.53901951 0.99999999 0.00000000 -0.72046023 1.00000000 0.00000000
-0.53786893 0.99999999 0.00000000 -0.71895948 1.00000000 0.00000000
-0.53671836 0.99999999 0.00000000 -0.71745873 1.00000000 0.00000000
-0.53556778 0.99999999 0.00000000 -0.71595798 1.00000000 0.00000000
-0.53441721 0.99999999 0.00000000 -0.71445723 1.00000000 0.00000000
-0.53326663 0.99999999 0.00000000 -0.71295648 1.00000000 0.00000000
-0.53211606 0.99999999 0.00000000 -0.71145573 1.00000000 0.00000000
-0.53096548 0.99999998 0.00000000 -0.70995498 1.00000000 0.00000000
-0.52981491 0.99999998 0.00000000 -0.70845423 1.00000000 0.00000000
-0.52866433 0.99999998 0.00000000 -0.70695348 1.00000000 0.00000000
-0.52751376 0.99999998 0.00000000 -0.70545273 1.00000000 0.00000000
-0.52636318 0.99999998 0.00000000 -0.70395198 1.00000000 0.00000000
-0.52521261 0.99999998 0.00000000 -0.70245123 1.00000000 0.00000000
