x user attacker FAR FRR threshold
0.0000 0.0000 0.2279 0.0000 0.0000 0.5000
0.0010 0.0000 0.2310 0.0000 0.0000 0.5000
0.0020 0.0000 0.2342 0.0000 0.0000 0.5000
0.0030 0.0000 0.2374 0.0000 0.0000 0.5000
0.0040 0.0000 0.2406 0.0000 0.0000 0.5000
0.0050 0.0000 0.2439 0.0000 0.0000 0.5000
0.0060 0.0000 0.2472 0.0000 0.0000 0.5000
0.0070 0.0000 0.2506 0.0000 0.0000 0.5000
0.0080 0.0000 0.2539 0.0000 0.0000 0.5000
0.0090 0.0000 0.2573 0.0000 0.0000 0.5000
0.0100 0.0000 0.2608 0.0000 0.0000 0.5000
0.0110 0.0000 0.2643 0.0000 0.0000 0.5000
0.0120 0.0000 0.2678 0.0000 0.0000 0.5000
0.0130 0.0000 0.2714 0.0000 0.0000 0.5000
0.0140 0.0000 0.2749 0.0000 0.0000 0.5000
0.0150 0.0000 0.2786 0.0000 0.0000 0.5000
0.0160 0.0000 0.2822 0.0000 0.0000 0.5000
0.0170 0.0000 0.2860 0.0000 0.0000 0.5000
0.0180 0.0000 0.2897 0.0000 0.0000 0.5000
0.0190 0.0000 0.2935 0.0000 0.0000 0.5000
0.0200 0.0000 0.2973 0.0000 0.0000 0.5000
0.0210 0.0000 0.3011 0.0000 0.0000 0.5000
0.0220 0.0000 0.3050 0.0000 0.0000 0.5000
0.0230 0.0000 0.3090 0.0000 0.0000 0.5000
0.0240 0.0000 0.3129 0.0000 0.0000 0.5000
0.0250 0.0000 0.3169 0.0000 0.0000 0.5000
0.0260 0.0000 0.3210 0.0000 0.0000 0.5000
0.0270 0.0000 0.3251 0.0000 0.0000 0.5000
0.0280 0.0000 0.3292 0.0000 0.0000 0.5000
0.0290 0.0000 0.3334 0.0000 0.0000 0.5000
0.0300 0.0000 0.3376 0.0000 0.0000 0.5000
0.0310 0.0000 0.3418 0.0000 0.0000 0.5000
0.0320 0.0000 0.3461 0.0000 0.0000 0.5000
0.0330 0.0000 0.3504 0.0000 0.0000 0.5000
0.0340 0.0000 0.3548 0.0000 0.0000 0.5000
0.0350 0.0000 0.3592 0.0000 0.0000 0.5000
0.0360 0.0000 0.3636 0.0000 0.0000 0.5000
0.0370 0.0000 0.3681 0.0000 0.0000 0.5000
0.0380 0.0000 0.3726 0.0000 0.0000 0.5000
0.0390 0.0000 0.3772 0.0000 0.0000 0.5000
0.0400 0.0000 0.3818 0.0000 0.0000 0.5000
0.0410 0.0000 0.3865 0.0000 0.0000 0.5000
0.0420 0.0000 0.3912 0.0000 0.0000 0.5000
0.0430 0.0000 0.3959 0.0000 0.0000 0.5000
0.0440 0.0000 0.4007 0.0000 0.0000 0.5000
0.0450 0.0000 0.4055 0.0000 0.0000 0.5000
0.0460 0.0000 0.4103 0.0000 0.0000 0.5000
0.0470 0.0000 0.4152 0.0000 0.0000 0.5000
0.0480 0.0000 0.4202 0.0000 0.0000 0.5000
0.0490 0.0000 0.4251 0.0000 0.0000 0.5000
0.0501 0.0000 0.4302 0.0000 0.0000 0.5000
0.0511 0.0000 0.4352 0.0000 0.0000 0.5000
0.0521 0.0000 0.4403 0.0000 0.0000 0.5000
0.0531 0.0000 0.4455 0.0000 0.0000 0.5000
0.0541 0.0000 0.4507 0.0000 0.0000 0.5000
0.0551 0.0000 0.4559 0.0000 0.0000 0.5000
0.0561 0.0000 0.4612 0.0000 0.0000 0.5000
0.0571 0.0000 0.4665 0.0000 0.0000 0.5000
0.0581 0.0000 0.4719 0.0000 0.0000 0.5000
0.0591 0.0000 0.4773 0.0000 0.0000 0.5000
0.0601 0.0000 0.4828 0.0000 0.0000 0.5000
0.0611 0.0000 0.4882 0.0000 0.0000 0.5000
0.0621 0.0000 0.4938 0.0000 0.0000 0.5000
0.0631 0.0000 0.4994 0.0000 0.0000 0.5000
0.0641 0.0000 0.5050 0.0000 0.0000 0.5000
0.0651 0.0000 0.5107 0.0000 0.0000 0.5000
0.0661 0.0000 0.5164 0.0000 0.0000 0.5000
0.0671 0.0000 0.5221 0.0000 0.0000 0.5000
0.0681 0.0000 0.5279 0.0000 0.0000 0.5000
0.0691 0.0000 0.5338 0.0000 0.0000 0.5000
0.0701 0.0000 0.5396 0.0000 0.0000 0.5000
0.0711 0.0000 0.5456 0.0000 0.0000 0.5000
0.0721 0.0000 0.5515 0.0000 0.0000 0.5000
0.0731 0.0000 0.5576 0.0000 0.0000 0.5000
0.0741 0.0000 0.5636 0.0000 0.0000 0.5000
0.0751 0.0000 0.5697 0.0000 0.0000 0.5000
0.0761 0.0000 0.5759 0.0000 0.0000 0.5000
0.0771 0.0000 0.5821 0.0000 0.0000 0.5000
0.0781 0.0000 0.5883 0.0000 0.0000 0.5000
0.0791 0.0000 0.5946 0.0000 0.0000 0.5000
0.0801 0.0000 0.6009 0.0000 0.0000 0.5000
0.0811 0.0000 0.6073 0.0000 0.0000 0.5000
0.0821 0.0000 0.6137 0.0000 0.0000 0.5000
0.0831 0.0000 0.6201 0.0000 0.0000 0.5000
0.0841 0.0000 0.6266 0.0000 0.0000 0.5000
0.0851 0.0000 0.6331 0.0000 0.0000 0.5000
0.0861 0.0000 0.6397 0.0000 0.0000 0.5000
0.0871 0.0000 0.6463 0.0000 0.0000 0.5000
0.0881 0.0000 0.6530 0.0000 0.0000 0.5000
0.0891 0.0000 0.6597 0.0000 0.0000 0.5000
0.0901 0.0000 0.6665 0.0000 0.0000 0.5000
0.0911 0.0000 0.6733 0.0000 0.0000 0.5000
0.0921 0.0000 0.6801 0.0000 0.0000 0.5000
0.0931 0.0000 0.6870 0.0000 0.0000 0.5000
0.0941 0.0000 0.6939 0.0000 0.0000 0.5000
0.0951 0.0000 0.7009 0.0000 0.0000 0.5000
0.0961 0.0000 0.7079 0.0000 0.0000 0.5000
0.0971 0.0000 0.7149 0.0000 0.0000 0.5000
0.0981 0.0000 0.7220 0.0000 0.0000 0.5000
0.0991 0.0000 0.7292 0.0000 0.0000 0.5000
0.1001 0.0000 0.7363 0.0000 0.0000 0.5000
0.1011 0.0000 0.7435 0.0000 0.0000 0.5000
0.1021 0.0000 0.7508 0.0000 0.0000 0.5000
0.1031 0.0000 0.7581 0.0000 0.0000 0.5000
0.1041 0.0000 0.7654 0.0000 0.0000 0.5000
0.1051 0.0000 0.7728 0.0000 0.0000 0.5000
