s PU1 PA1 PU2 PA2
-0.9000 0.0000 0.0000 0.0000 0.0000
-0.8984 0.0000 0.0000 0.0000 0.0000
-0.8969 0.0000 0.0000 0.0000 0.0000
-0.8953 0.0000 0.0000 0.0000 0.0000
-0.8938 0.0000 0.0000 0.0000 0.0000
-0.8922 0.0000 0.0000 0.0000 0.0000
-0.8907 0.0000 0.0000 0.0000 0.0000
-0.8891 0.0000 0.0000 0.0000 0.0000
-0.8876 0.0000 0.0000 0.0000 0.0000
-0.8860 0.0000 0.0000 0.0000 0.0000
-0.8845 0.0000 0.0000 0.0000 0.0000
-0.8829 0.0000 0.0000 0.0000 0.0000
-0.8814 0.0000 0.0000 0.0000 0.0000
-0.8798 0.0000 0.0000 0.0000 0.0000
-0.8783 0.0000 0.0000 0.0000 0.0000
-0.8767 0.0000 0.0000 0.0000 0.0000
-0.8752 0.0000 0.0000 0.0000 0.0000
-0.8736 0.0000 0.0000 0.0000 0.0000
-0.8721 0.0000 0.0000 0.0000 0.0000
-0.8705 0.0000 0.0000 0.0000 0.0000
-0.8690 0.0000 0.0000 0.0000 0.0000
-0.8674 0.0000 0.0000 0.0000 0.0000
-0.8659 0.0000 0.0000 0.0000 0.0000
-0.8643 0.0000 0.0000 0.0000 0.0000
-0.8628 0.0000 0.0000 0.0000 0.0000
-0.8612 0.0000 0.0000 0.0000 0.0000
-0.8597 0.0000 0.0000 0.0000 0.0000
-0.8581 0.0000 0.0000 0.0000 0.0000
-0.8566 0.0000 0.0000 0.0000 0.0000
-0.8550 0.0000 0.0000 0.0000 0.0000
-0.8535 0.0000 0.0000 0.0000 0.0000
-0.8519 0.0000 0.0000 0.0000 0.0000
-0.8504 0.0000 0.0000 0.0000 0.0000
-0.8488 0.0000 0.0000 0.0000 0.0000
-0.8473 0.0000 0.0000 0.0000 0.0000
-0.8457 0.0000 0.0000 0.0000 0.0000
-0.8442 0.0000 0.0000 0.0000 0.0000
-0.8426 0.0000 0.0000 0.0000 0.0000
-0.8411 0.0000 0.0000 0.0000 0.0000
-0.8395 0.0000 0.0000 0.0000 0.0000
-0.8380 0.0000 0.0000 0.0000 0.0000
-0.8364 0.0000 0.0000 0.0000 0.0000
-0.8349 0.0000 0.0000 0.0000 0.0000
-0.8333 0.0000 0.0000 0.0000 0.0000
-0.8318 0.0000 0.0000 0.0000 0.0000
-0.8302 0.0000 0.0000 0.0000 0.0000
-0.8287 0.0000 0.0000 0.0000 0.0000
-0.8271 0.0000 0.0000 0.0000 0.0000
-0.8256 0.0000 0.0000 0.0000 0.0000
-0.8240 0.0000 0.0000 0.0000 0.0000
-0.8225 0.0000 0.0000 0.0000 0.0000
-0.8209 0.0000 0.0000 0.0000 0.0000
-0.8194 0.0000 0.0000 0.0000 0.0000
-0.8178 0.0000 0.0000 0.0000 0.0000
-0.8163 0.0000 0.0000 0.0000 0.0000
-0.8147 0.0000 0.0000 0.0000 0.0000
-0.8132 0.0000 0.0000 0.0000 0.0000
-0.8116 0.0000 0.0000 0.0000 0.0000
-0.8101 0.0000 0.0000 0.0000 0.0000
-0.8085 0.0000 0.0000 0.0000 0.0000
-0.8070 0.0000 0.0000 0.0000 0.0000
-0.8054 0.0000 0.0000 0.0000 0.0000
-0.8039 0.0000 0.0000 0.0000 0.0000
-0.8023 0.0000 0.0000 0.0000 0.0000
-0.8008 0.0000 0.0000 0.0000 0.0000
-0.7992 0.0000 0.0000 0.0000 0.0000
-0.7976 0.0000 0.0000 0.0000 0.0000
-0.7961 0.0000 0.0000 0.0000 0.0000
-0.7945 0.0000 0.0000 0.0000 0.0000
-0.7930 0.0000 0.0000 0.0000 0.0000
-0.7914 0.0000 0.0000 0.0000 0.0000
-0.7899 0.0000 0.0000 0.0000 0.0000
-0.7883 0.0000 0.0000 0.0000 0.0000
