T1 P_and_T1 P_or_T1 T2 P_and_T2 P_or_T2
-0.60000000 0.75511306 0.00000000 -0.80000000 0.91952840 0.00000000
-0.59884942 0.75511306 0.00000000 -0.79849925 0.91952840 0.00000000
-0.59769885 0.75511306 0.00000000 -0.79699850 0.91952840 0.00000000
-0.59654827 0.75511306 0.00000000 -0.79549775 0.91952840 0.00000000
-0.59539770 0.75511306 0.00000000 -0.79399700 0.91952840 0.00000000
-0.59424712 0.75511306 0.00000000 -0.79249625 0.91952840 0.00000000
-0.59309655 0.75511306 0.00000000 -0.79099550 0.91952840 0.00000000
-0.59194597 0.75511306 0.00000000 -0.78949475 0.91952840 0.00000000
-0.59079540 0.75511306 0.00000000 -0.78799400 0.91952840 0.00000000
-0.58964482 0.75511306 0.00000000 -0.78649325 0.91952840 0.00000000
-0.58849425 0.75511306 0.00000000 -0.78499250 0.91952840 0.00000000
-0.58734367 0.75511306 0.00000000 -0.78349175 0.91952840 0.00000000
-0.58619310 0.75511306 0.00000000 -0.78199100 0.91952840 0.00000000
-0.58504252 0.75511306 0.00000000 -0.78049025 0.91952840 0.00000000
-0.58389195 0.75511306 0.00000000 -0.77898949 0.91952840 0.00000000
-0.58274137 0.75511306 0.00000000 -0.77748874 0.91952840 0.00000000
-0.58159080 0.75511306 0.00000000 -0.77598799 0.91952840 0.00000000
-0.58044022 0.75511306 0.00000000 -0.77448724 0.91952840 0.00000000
-0.57928964 0.75511306 0.00000000 -0.77298649 0.91952840 0.00000000
-0.57813907 0.75511306 0.00000000 -0.77148574 0.91952840 0.00000000
-0.57698849 0.75511306 0.00000000 -0.76998499 0.91952840 0.00000000
-0.57583792 0.75511306 0.00000000 -0.76848424 0.91952840 0.00000000
-0.57468734 0.75511306 0.00000000 -0.76698349 0.91952840 0.00000000
-0.57353677 0.75511306 0.00000000 -0.76548274 0.91952840 0.00000000
-0.57238619 0.75511306 0.00000000 -0.76398199 0.91952840 0.00000000
-0.57123562 0.75511306 0.00000000 -0.76248124 0.91952840 0.00000000
-0.57008504 0.75511306 0.00000000 -0.76098049 0.91952840 0.00000000
-0.56893447 0.75511306 0.00000000 -0.75947974 0.91952840 0.00000000
-0.56778389 0.75511306 0.00000000 -0.75797899 0.91952840 0.00000000
-0.56663332 0.75511306 0.00000000 -0.75647824 0.91952840 0.00000000
-0.56548274 0.75511306 0.00000000 -0.75497749 0.91952840 0.00000000
-0.56433217 0.75511307 0.00000000 -0.75347674 0.91952840 0.00000000
-0.56318159 0.75511307 0.00000000 -0.75197599 0.91952840 0.00000000
-0.56203102 0.75511307 0.00000000 -0.75047524 0.91952840 0.00000000
-0.56088044 0.75511307 0.00000000 -0.74897449 0.91952840 0.00000000
-0.55972986 0.75511307 0.00000000 -0.74747374 0.91952840 0.00000000
-0.55857929 0.75511307 0.00000001 -0.74597299 0.91952840 0.00000000
-0.55742871 0.75511307 0.00000001 -0.74447224 0.91952840 0.00000000
-0.55627814 0.75511307 0.00000001 -0.74297149 0.91952840 0.00000000
-0.55512756 0.75511307 0.00000001 -0.74147074 0.91952840 0.00000000
-0.55397699 0.75511307 0.00000001 -0.73996998 0.91952840 0.00000000
-0.55282641 0.75511307 0.00000001 -0.73846923 0.91952840 0.00000000
-0.55167584 0.75511307 0.00000001 -0.73696848 0.91952840 0.00000000
-0.55052526 0.75511307 0.00000001 -0.73546773 0.91952840 0.00000000
-0.54937469 0.75511307 0.00000001 -0.73396698 0.91952840 0.00000000
-0.54822411 0.75511307 0.00000001 -0.73246623 0.91952840 0.00000000
-0.54707354 0.75511307 0.00000001 -0.73096548 0.91952840 0.00000000
-0.54592296 0.75511307 0.00000001 -0.72946473 0.91952840 0.00000000
-0.54477239 0.75511307 0.00000001 -0.72796398 0.91952840 0.00000000
-0.54362181 0.75511307 0.00000001 -0.72646323 0.91952840 0.00000000
-0.54247124 0.75511307 0.00000001 -0.72496248 0.91952840 0.00000000
-0.54132066 0.75511307 0.00000001 -0.72346173 0.91952840 0.00000000
-0.54017009 0.75511307 0.00000001 -0.72196098 0.91952840 0.00000000
-0.53901951 0.75511307 0.00000001 -0.72046023 0.91952840 0.00000000
-0.53786893 0.75511307 0.00000001 -0.71895948 0.91952840 0.00000000
-0.53671836 0.75511307 0.00000001 -0.71745873 0.91952840 0.00000000
-0.53556778 0.75511307 0.00000001 -0.71595798 0.91952840 0.00000000
-0.53441721 0.75511307 0.00000001 -0.71445723 0.91952840 0.00000000
-0.53326663 0.75511307 0.00000001 -0.71295648 0.91952840 0.00000000
-0.53211606 0.75511307 0.00000001 -0.71145573 0.91952840 0.00000000
-0.53096548 0.75511307 0.00000002 -0.70995498 0.91952840 0.00000000
-0.52981491 0.75511307 0.00000002 -0.70845423 0.91952840 0.00000000
-0.52866433 0.75511307 0.00000002 -0.70695348 0.91952840 0.00000000
-0.52751376 0.75511307 0.00000002 -0.70545273 0.91952840 0.00000000
-0.52636318 0.75511307 0.00000002 -0.70395198 0.91952840 0.00000000
-0.52521261 0.75511307 0.00000002 -0.70245123 0.91952840 0.00000000
-0.52406203 0.75511307 0.00000002 -0.70095048 0.91952840 0.00000000
-0.52291146 0.75511307 0.00000002 -0.69944972 0.91952840 0.00000000
-0.52176088 0.75511307 0.00000002 -0.69794897 0.91952840 0.00000000
-0.52061031 0.75511307 0.00000002 -0.69644822 0.91952840 0.00000000
-0.51945973 0.75511307 0.00000002 -0.69494747 0.91952840 0.00000000
-0.51830915 0.75511307 0.00000002 -0.69344672 0.91952840 0.00000000
-0.51715858 0.75511307 0.00000003 -0.69194597 0.91952840 0.00000000
-0.51600800 0.75511307 0.00000003 -0.69044522 0.91952840 0.00000000
-0.51485743 0.75511307 0.00000003 -0.68894447 0.91952840 0.00000000
-0.51370685 0.75511307 0.00000003 -0.68744372 0.91952840 0.00000000
-0.51255628 0.75511307 0.00000003 -0.68594297 0.91952840 0.00000000
-0.51140570 0.75511307 0.00000003 -0.68444222 0.91952840 0.00000000
-0.51025513 0.75511307 0.00000003 -0.68294147 0.91952840 0.00000000
-0.50910455 0.75511307 0.00000003 -0.68144072 0.91952840 0.00000000
-0.50795398 0.75511307 0.00000004 -0.67993997 0.91952840 0.00000000
-0.50680340 0.75511307 0.00000004 -0.67843922 0.91952840 0.00000000
-0.50565283 0.75511307 0.00000004 -0.67693847 0.91952840 0.00000000
-0.50450225 0.75511307 0.00000004 -0.67543772 0.91952840 0.00000000
-0.50335168 0.75511307 0.00000004 -0.67393697 0.91952840 0.00000000
-0.50220110 0.75511307 0.00000004 -0.67243622 0.91952840 0.00000000
-0.50105053 0.75511307 0.00000005 -0.67093547 0.91952840 0.00000000
-0.49989995 0.75511308 0.00000005 -0.66943472 0.91952840 0.00000000
-0.49874937 0.75511308 0.00000005 -0.66793397 0.91952840 0.00000000
-0.49759880 0.75511308 0.00000005 -0.66643322 0.91952840 0.00000000
-0.49644822 0.75511308 0.00000005 -0.66493247 0.91952840 0.00000000
-0.49529765 0.75511308 0.00000006 -0.66343172 0.91952840 0.00000000
-0.49414707 0.75511308 0.00000006 -0.66193097 0.91952840 0.00000000
-0.49299650 0.75511308 0.00000006 -0.66043022 0.91952840 0.00000000
-0.49184592 0.75511308 0.00000006 -0.65892946 0.91952840 0.00000000
-0.49069535 0.75511308 0.00000007 -0.65742871 0.91952840 0.00000000
-0.48954477 0.75511308 0.00000007 -0.65592796 0.91952840 0.00000000
-0.48839420 0.75511308 0.00000007 -0.65442721 0.91952840 0.00000000
-0.48724362 0.75511308 0.00000008 -0.65292646 0.91952840 0.00000000
-0.48609305 0.75511308 0.00000008 -0.65142571 0.91952840 0.00000000
-0.48494247 0.75511308 0.00000008 -0.64992496 0.91952840 0.00000000
-0.48379190 0.75511308 0.00000009 -0.64842421 0.91952840 0.00000000
-0.48264132 0.75511309 0.00000009 -0.64692346 0.91952840 0.00000000
-0.48149075 0.75511309 0.00000009 -0.64542271 0.91952840 0.00000000
-0.48034017 0.75511309 0.00000010 -0.64392196 0.91952840 0.00000000
-0.47918959 0.75511309 0.00000010 -0.64242121 0.91952840 0.00000000
-0.47803902 0.75511309 0.00000011 -0.64092046 0.91952840 0.00000000
-0.47688844 0.75511309 0.00000011 -0.63941971 0.91952840 0.00000000
-0.47573787 0.75511309 0.00000012 -0.63791896 0.91952840 0.00000000
-0.47458729 0.75511309 0.00000012 -0.63641821 0.91952840 0.00000000
-0.47343672 0.75511309 0.00000013 -0.63491746 0.91952840 0.00000000
-0.47228614 0.75511309 0.00000013 -0.63341671 0.91952840 0.00000000
-0.47113557 0.75511310 0.00000014 -0.63191596 0.91952840 0.00000000
-0.46998499 0.75511310 0.00000014 -0.63041521 0.91952840 0.00000001
-0.46883442 0.75511310 0.00000015 -0.62891446 0.91952840 0.00000001
-0.46768384 0.75511310 0.00000015 -0.62741371 0.91952840 0.00000001
-0.46653327 0.75511310 0.00000016 -0.62591296 0.91952840 0.00000001
-0.46538269 0.75511310 0.00000017 -0.62441221 0.91952840 0.00000001
-0.46423212 0.75511311 0.00000017 -0.62291146 0.91952840 0.00000001
-0.46308154 0.75511311 0.00000018 -0.62141071 0.91952840 0.00000001
-0.46193097 0.75511311 0.00000019 -0.61990995 0.91952840 0.00000001
-0.46078039 0.75511311 0.00000020 -0.61840920 0.91952840 0.00000001
-0.45962981 0.75511311 0.00000020 -0.61690845 0.91952840 0.00000001
-0.45847924 0.75511311 0.00000021 -0.61540770 0.91952840 0.00000001
-0.45732866 0.75511312 0.00000022 -0.61390695 0.91952840 0.00000001
-0.45617809 0.75511312 0.00000023 -0.61240620 0.91952840 0.00000001
-0.45502751 0.75511312 0.00000024 -0.61090545 0.91952840 0.00000001
