T FAR FRR FAR_uniform FRR_uniform FAR_quadratic FRR_quadratic
2.500000 1.000000 0.000000 1.000000 0.000000 0.754251 0.027318
7.500000 0.047222 0.020000 0.500000 0.052632 0.002310 0.057132
12.500000 0.002778 0.020000 0.000000 0.105263 0.000000 0.096143
17.500000 0.000000 0.180000 0.000000 0.157895 0.000000 0.143146
22.500000 0.000000 0.220000 0.000000 0.210526 0.000000 0.196937
27.500000 0.000000 0.320000 0.000000 0.263158 0.000000 0.256310
32.500000 0.000000 0.420000 0.000000 0.315789 0.000000 0.320061
37.500000 0.000000 0.520000 0.000000 0.368421 0.000000 0.386985
42.500000 0.000000 0.580000 0.000000 0.421053 0.000000 0.455877
47.500000 0.000000 0.660000 0.000000 0.473684 0.000000 0.525533
52.500000 0.000000 0.780000 0.000000 0.526316 0.000000 0.594747
57.500000 0.000000 0.840000 0.000000 0.578947 0.000000 0.662315
62.500000 0.000000 0.880000 0.000000 0.631579 0.000000 0.727032
67.500000 0.000000 0.940000 0.000000 0.684211 0.000000 0.787693
72.500000 0.000000 0.940000 0.000000 0.736842 0.000000 0.843094
77.500000 0.000000 0.960000 0.000000 0.789474 0.000000 0.892029
82.500000 0.000000 0.960000 0.000000 0.842105 0.000000 0.933294
87.500000 0.000000 0.960000 0.000000 0.894737 0.000000 0.965684
92.500000 0.000000 0.980000 0.000000 0.947368 0.000000 0.987994
97.500000 0.000000 0.980000 0.000000 1.000000 0.000000 0.999019
