bin genuine impostor
1.0000 0 46
3.0000 0 8
5.0000 0 7
7.0000 0 3
9.0000 0 3
11.0000 0 2
13.0000 0 1
15.0000 0 0
17.0000 0 0
19.0000 0 1
21.0000 0 0
23.0000 1 0
25.0000 1 0
27.0000 0 1
29.0000 0 0
31.0000 0 0
33.0000 0 0
35.0000 0 0
37.0000 1 0
39.0000 0 0
41.0000 1 0
43.0000 0 0
45.0000 0 0
47.0000 0 0
49.0000 0 0
51.0000 0 0
53.0000 0 0
55.0000 0 0
57.0000 0 0
59.0000 0 0
61.0000 0 0
63.0000 0 0
65.0000 1 0
67.0000 0 0
69.0000 0 0
71.0000 0 0
73.0000 1 0
75.0000 0 0
77.0000 0 0
79.0000 0 0
81.0000 0 0
83.0000 0 0
85.0000 0 0
87.0000 0 0
89.0000 0 0
91.0000 0 0
93.0000 0 0
95.0000 0 0
97.0000 0 0
99.0000 1 0
