T P_and P_or
1.000000 0.750000 0.000000
1.100000 0.752964 0.025192
1.200000 0.758746 0.074341
1.300000 0.764351 0.121980
1.400000 0.769750 0.167879
1.500000 0.774925 0.211860
1.600000 0.779859 0.253805
1.700000 0.784546 0.293641
1.800000 0.788980 0.331330
1.900000 0.793159 0.366852
2.000000 0.797082 0.400199
2.100000 0.800747 0.431367
2.200000 0.804155 0.460358
2.300000 0.807302 0.487173
2.400000 0.810184 0.511818
2.500000 0.812795 0.534312
2.600000 0.815127 0.554686
2.700000 0.817173 0.573007
2.800000 0.818931 0.589378
2.900000 0.820408 0.603957
3.000000 0.821625 0.616951
3.100000 0.822611 0.628608
3.200000 0.823409 0.639189
3.300000 0.824059 0.648941
3.400000 0.824599 0.658074
3.500000 0.825061 0.666748
3.600000 0.825464 0.675070
3.700000 0.825820 0.683105
3.800000 0.826138 0.690889
3.900000 0.826419 0.698440
4.000000 0.826666 0.705765
4.100000 0.826879 0.712867
4.200000 0.827058 0.719747
4.300000 0.827203 0.726405
4.400000 0.827314 0.732842
4.500000 0.827392 0.739058
4.600000 0.827436 0.745052
4.700000 0.827447 0.750827
4.800000 0.827425 0.756382
4.900000 0.827369 0.761720
5.000000 0.827281 0.766843
5.100000 0.827161 0.771753
5.200000 0.827008 0.776452
5.300000 0.826824 0.780943
5.400000 0.826608 0.785229
5.500000 0.826361 0.789310
5.600000 0.826083 0.793188
5.700000 0.825774 0.796864
5.800000 0.825434 0.800337
5.900000 0.825063 0.803609
6.000000 0.824662 0.806679
6.100000 0.824230 0.809547
6.200000 0.823767 0.812214
6.300000 0.823274 0.814679
6.400000 0.822750 0.816944
6.500000 0.822197 0.819011
6.600000 0.821613 0.820881
6.700000 0.821001 0.822562
6.800000 0.820361 0.824062
6.900000 0.819694 0.825395
7.000000 0.819003 0.826580
7.100000 0.818291 0.827638
7.200000 0.817560 0.828592
7.300000 0.816812 0.829464
7.400000 0.816050 0.830272
7.500000 0.815275 0.831030
7.600000 0.814489 0.831746
7.700000 0.813691 0.832428
7.800000 0.812883 0.833077
7.900000 0.812064 0.833696
8.000000 0.811235 0.834285
8.100000 0.810395 0.834845
8.200000 0.809545 0.835375
8.300000 0.808685 0.835875
8.400000 0.807814 0.836346
8.500000 0.806933 0.836788
8.600000 0.806041 0.837201
8.700000 0.805140 0.837586
