variance gap Pmax PEER
0.4500 0.0701 0.9324 0.9174
0.4450 0.0701 0.9318 0.9170
0.4400 0.0701 0.9311 0.9165
0.4350 0.0802 0.9305 0.9119
0.4300 0.0802 0.9298 0.9114
0.4251 0.0802 0.9291 0.9110
0.4203 0.0802 0.9284 0.9105
0.4154 0.0802 0.9277 0.9100
0.4106 0.0802 0.9270 0.9096
0.4058 0.0802 0.9263 0.9091
0.4010 0.0802 0.9255 0.9086
0.3962 0.0802 0.9248 0.9081
0.3915 0.0802 0.9240 0.9076
0.3868 0.0802 0.9232 0.9070
0.3822 0.0802 0.9224 0.9065
0.3776 0.0802 0.9216 0.9060
0.3729 0.0701 0.9208 0.9054
0.3684 0.0701 0.9200 0.9049
0.3638 0.0701 0.9192 0.9043
0.3593 0.0701 0.9184 0.9037
0.3548 0.0802 0.9175 0.8989
0.3503 0.0802 0.9167 0.8984
0.3459 0.0802 0.9158 0.8978
0.3415 0.0802 0.9149 0.8972
0.3371 0.0802 0.9140 0.8966
0.3328 0.0802 0.9131 0.8960
0.3284 0.0802 0.9122 0.8954
0.3242 0.0802 0.9112 0.8947
0.3199 0.0802 0.9102 0.8941
0.3156 0.0802 0.9092 0.8934
0.3114 0.0701 0.9082 0.8928
0.3073 0.0701 0.9073 0.8921
0.3031 0.0701 0.9063 0.8914
0.2990 0.0701 0.9052 0.8907
0.2949 0.0701 0.9042 0.8899
0.2908 0.0802 0.9031 0.8851
0.2868 0.0802 0.9021 0.8844
0.2828 0.0802 0.9009 0.8836
0.2788 0.0802 0.8998 0.8829
0.2748 0.0802 0.8987 0.8822
0.2709 0.0802 0.8975 0.8814
0.2670 0.0802 0.8963 0.8806
0.2631 0.0701 0.8951 0.8798
0.2593 0.0701 0.8939 0.8790
0.2555 0.0701 0.8927 0.8782
0.2517 0.0701 0.8915 0.8773
0.2480 0.0701 0.8902 0.8764
0.2442 0.0701 0.8889 0.8755
0.2405 0.0802 0.8876 0.8706
0.2369 0.0802 0.8863 0.8697
0.2332 0.0802 0.8849 0.8689
0.2296 0.0701 0.8835 0.8679
0.2260 0.0701 0.8821 0.8670
0.2224 0.0701 0.8807 0.8661
0.2189 0.0701 0.8793 0.8651
0.2154 0.0701 0.8778 0.8641
0.2119 0.0701 0.8763 0.8631
0.2084 0.0701 0.8748 0.8620
0.2051 0.0701 0.8733 0.8610
0.2017 0.0601 0.8717 0.8599
0.1983 0.0701 0.8701 0.8549
0.1950 0.0701 0.8685 0.8539
0.1917 0.0701 0.8669 0.8528
0.1884 0.0701 0.8652 0.8516
0.1851 0.0701 0.8635 0.8505
0.1820 0.0701 0.8617 0.8493
0.1787 0.0601 0.8599 0.8481
0.1755 0.0601 0.8582 0.8469
0.1725 0.0601 0.8564 0.8456
0.1693 0.0601 0.8546 0.8443
0.1662 0.0701 0.8527 0.8393
0.1633 0.0701 0.8507 0.8381
0.1601 0.0701 0.8488 0.8367
0.1571 0.0601 0.8468 0.8354
0.1543 0.0601 0.8448 0.8340
0.1512 0.0601 0.8428 0.8325
0.1483 0.0601 0.8407 0.8311
0.1455 0.0601 0.8386 0.8296
0.1426 0.0501 0.8364 0.8280
0.1397 0.0601 0.8343 0.8231
0.1371 0.0601 0.8321 0.8216
0.1342 0.0601 0.8298 0.8200
0.1314 0.0601 0.8275 0.8184
0.1288 0.0501 0.8252 0.8167
0.1261 0.0501 0.8228 0.8150
0.1234 0.0501 0.8204 0.8132
0.1208 0.0501 0.8179 0.8114
0.1182 0.0501 0.8154 0.8066
0.1156 0.0501 0.8129 0.8047
0.1131 0.0501 0.8104 0.8029
0.1106 0.0501 0.8077 0.8010
0.1080 0.0401 0.8050 0.7990
0.1056 0.0401 0.8024 0.7969
0.1033 0.0401 0.7996 0.7948
0.1007 0.0501 0.7968 0.7900
0.0984 0.0401 0.7940 0.7879
0.0962 0.0401 0.7911 0.7858
0.0937 0.0401 0.7882 0.7835
0.0914 0.0401 0.7852 0.7812
0.0894 0.0301 0.7822 0.7788
0.0869 0.0301 0.7792 0.7763
0.0847 0.0401 0.7760 0.7717
0.0828 0.0301 0.7729 0.7692
0.0804 0.0301 0.7697 0.7667
0.0782 0.0301 0.7664 0.7640
0.0765 0.0200 0.7631 0.7612
0.0741 0.0200 0.7598 0.7584
0.0720 0.0301 0.7564 0.7539
0.0703 0.0200 0.7529 0.7510
0.0681 0.0200 0.7495 0.7481
0.0661 0.0200 0.7459 0.7450
0.0644 0.0100 0.7423 0.7417
0.0623 0.0100 0.7387 0.7384
0.0603 0.0200 0.7349 0.7342
0.0588 0.0100 0.7313 0.7308
0.0569 0.0100 0.7275 0.7273
0.0549 0.0000 0.7236 0.7236
0.0534 0.0000 0.7198 0.7198
0.0516 0.0100 0.7158 0.7158
0.0497 0.0000 0.7119 0.7119
