s PU PA FAR FRR Ps
0.0000 0.0000 0.0000 1.0000 0.0000 0.0000
0.0100 0.0000 0.0000 1.0000 0.0000 0.0000
0.0200 0.0000 0.0000 1.0000 0.0000 0.0000
0.0301 0.0000 0.0000 1.0000 0.0000 0.0000
0.0401 0.0000 0.0000 1.0000 0.0000 0.0000
0.0501 0.0000 0.0000 1.0000 0.0000 0.0000
0.0601 0.0000 0.0000 1.0000 0.0000 0.0000
0.0701 0.0000 0.0000 1.0000 0.0000 0.0000
0.0802 0.0000 0.0000 1.0000 0.0000 0.0000
0.0902 0.0000 0.0000 1.0000 0.0000 0.0000
0.1002 0.0000 0.0000 1.0000 0.0000 0.0000
0.1102 0.0000 0.0000 1.0000 0.0000 0.0000
0.1202 0.0000 0.0000 1.0000 0.0000 0.0000
0.1303 0.0000 0.0000 1.0000 0.0000 0.0000
0.1403 0.0000 0.0000 1.0000 0.0000 0.0000
0.1503 0.0000 0.0000 1.0000 0.0000 0.0000
0.1603 0.0000 0.0000 1.0000 0.0000 0.0000
0.1703 0.0000 0.0000 1.0000 0.0000 0.0000
0.1804 0.0000 0.0000 1.0000 0.0000 0.0000
0.1904 0.0000 0.0000 1.0000 0.0000 0.0000
0.2004 0.0000 0.0000 1.0000 0.0000 0.0000
0.2104 0.0000 0.0000 1.0000 0.0000 0.0000
0.2204 0.0000 0.0000 1.0000 0.0000 0.0000
0.2305 0.0000 0.0000 1.0000 0.0000 0.0000
0.2405 0.0000 0.0000 1.0000 0.0000 0.0000
0.2505 0.0000 0.0000 1.0000 0.0000 0.0000
0.2605 0.0000 0.0000 1.0000 0.0000 0.0000
0.2705 0.0000 0.0000 1.0000 0.0000 0.0000
0.2806 0.0000 0.0000 1.0000 0.0000 0.0000
0.2906 0.0000 0.0000 1.0000 0.0000 0.0000
0.3006 0.0000 0.0000 1.0000 0.0000 0.0000
0.3106 0.0000 0.0000 1.0000 0.0000 0.0000
0.3206 0.0000 0.0000 1.0000 0.0000 0.0000
0.3307 0.0000 0.0000 1.0000 0.0000 0.0000
0.3407 0.0000 0.0000 1.0000 0.0000 0.0000
0.3507 0.0000 0.0000 1.0000 0.0000 0.0000
0.3607 0.0000 0.0000 1.0000 0.0000 0.0000
0.3707 0.0000 0.0000 1.0000 0.0000 0.0000
0.3808 0.0000 0.0000 1.0000 0.0000 0.0000
0.3908 0.0000 0.0000 1.0000 0.0000 0.0000
0.4008 0.0000 0.0000 1.0000 0.0000 0.0000
0.4108 0.0000 0.0000 1.0000 0.0000 0.0000
0.4208 0.0000 0.0000 1.0000 0.0000 0.0000
