s PU PA FAR FRR Ps
0.000000 0.000000 0.000000 1.000000 0.000000 0.000000
0.005005 0.000000 0.000000 1.000000 0.000000 0.000000
0.010010 0.000000 0.000000 1.000000 0.000000 0.000000
0.015015 0.000000 0.000000 1.000000 0.000000 0.000000
0.020020 0.000000 0.000000 1.000000 0.000000 0.000000
0.025025 0.000000 0.000000 1.000000 0.000000 0.000000
0.030030 0.000000 0.000000 1.000000 0.000000 0.000000
0.035035 0.000000 0.000000 1.000000 0.000000 0.000000
0.040040 0.000000 0.000000 1.000000 0.000000 0.000000
0.045045 0.000000 0.000000 1.000000 0.000000 0.000000
0.050050 0.000000 0.000000 1.000000 0.000000 0.000000
0.055055 0.000000 0.000000 1.000000 0.000000 0.000000
0.060060 0.000000 0.000000 1.000000 0.000000 0.000000
0.065065 0.000000 0.000000 1.000000 0.000000 0.000000
0.070070 0.000000 0.000000 1.000000 0.000000 0.000000
0.075075 0.000000 0.000000 1.000000 0.000000 0.000000
0.080080 0.000000 0.000000 1.000000 0.000000 0.000000
0.085085 0.000000 0.000000 1.000000 0.000000 0.000000
0.090090 0.000000 0.000000 1.000000 0.000000 0.000000
0.095095 0.000000 0.000000 1.000000 0.000000 0.000000
0.100100 0.000000 0.000000 1.000000 0.000000 0.000000
0.105105 0.000000 0.000000 1.000000 0.000000 0.000000
0.110110 0.000000 0.000000 1.000000 0.000000 0.000000
0.115115 0.000000 0.000000 1.000000 0.000000 0.000000
0.120120 0.000000 0.000000 1.000000 0.000000 0.000000
0.125125 0.000000 0.000000 1.000000 0.000000 0.000000
0.130130 0.000000 0.000000 1.000000 0.000000 0.000000
0.135135 0.000000 0.000000 1.000000 0.000000 0.000000
0.140140 0.000000 0.000000 1.000000 0.000000 0.000000
0.145145 0.000000 0.000000 1.000000 0.000000 0.000000
0.150150 0.000000 0.000000 1.000000 0.000000 0.000000
0.155155 0.000000 0.000000 1.000000 0.000000 0.000000
0.160160 0.000000 0.000000 1.000000 0.000000 0.000000
0.165165 0.000000 0.000000 1.000000 0.000000 0.000000
0.170170 0.000000 0.000000 1.000000 0.000000 0.000000
0.175175 0.000000 0.000000 1.000000 0.000000 0.000000
0.180180 0.000000 0.000000 1.000000 0.000000 0.000000
0.185185 0.000000 0.000000 1.000000 0.000000 0.000000
0.190190 0.000000 0.000000 1.000000 0.000000 0.000000
0.195195 0.000000 0.000000 1.000000 0.000000 0.000000
0.200200 0.000000 0.000000 1.000000 0.000000 0.000000
0.205205 0.000000 0.000000 1.000000 0.000000 0.000000
0.210210 0.000000 0.000000 1.000000 0.000000 0.000000
0.215215 0.000000 0.000000 1.000000 0.000000 0.000000
0.220220 0.000000 0.000000 1.000000 0.000000 0.000000
0.225225 0.000000 0.000000 1.000000 0.000000 0.000000
0.230230 0.000000 0.000000 1.000000 0.000000 0.000000
0.235235 0.000000 0.000000 1.000000 0.000000 0.000000
0.240240 0.000000 0.000000 1.000000 0.000000 0.000000
0.245245 0.000000 0.000000 1.000000 0.000000 0.000000
0.250250 0.000000 0.000000 1.000000 0.000000 0.000000
0.255255 0.000000 0.000000 1.000000 0.000000 0.000000
0.260260 0.000000 0.000000 1.000000 0.000000 0.000000
0.265265 0.000000 0.000000 1.000000 0.000000 0.000000
0.270270 0.000000 0.000000 1.000000 0.000000 0.000000
0.275275 0.000000 0.000000 1.000000 0.000000 0.000000
0.280280 0.000000 0.000000 1.000000 0.000000 0.000000
0.285285 0.000000 0.000000 1.000000 0.000000 0.000000
0.290290 0.000000 0.000000 1.000000 0.000000 0.000000
0.295295 0.000000 0.000000 1.000000 0.000000 0.000000
0.300300 0.000000 0.000000 1.000000 0.000000 0.000000
0.305305 0.000000 0.000000 1.000000 0.000000 0.000000
0.310310 0.000000 0.000000 1.000000 0.000000 0.000000
0.315315 0.000000 0.000000 1.000000 0.000000 0.000000
0.320320 0.000000 0.000000 1.000000 0.000000 0.000000
0.325325 0.000000 0.000000 1.000000 0.000000 0.000000
0.330330 0.000000 0.000000 1.000000 0.000000 0.000000
0.335335 0.000000 0.000000 1.000000 0.000000 0.000000
0.340340 0.000000 0.000000 1.000000 0.000000 0.000000
0.345345 0.000000 0.000000 1.000000 0.000000 0.000000
0.350350 0.000000 0.000000 1.000000 0.000000 0.000000
0.355355 0.000000 0.000000 1.000000 0.000000 0.000000
0.360360 0.000000 0.000000 1.000000 0.000000 0.000000
0.365365 0.000000 0.000000 1.000000 0.000000 0.000000
0.370370 0.000000 0.000000 1.000000 0.000000 0.000000
0.375375 0.000000 0.000000 1.000000 0.000000 0.000000
0.380380 0.000000 0.000000 1.000000 0.000000 0.000000
0.385385 0.000000 0.000000 1.000000 0.000000 0.000000
0.390390 0.000000 0.000000 1.000000 0.000000 0.000000
0.395395 0.000000 0.000000 1.000000 0.000000 0.000000
0.400400 0.000000 0.000000 1.000000 0.000000 0.000000
0.405405 0.000000 0.000000 1.000000 0.000000 0.000000
0.410410 0.000000 0.000000 1.000000 0.000000 0.000000
0.415415 0.000000 0.000000 1.000000 0.000000 0.000000
0.420420 0.000000 0.000000 1.000000 0.000000 0.000000
0.425425 0.000000 0.000000 1.000000 0.000000 0.000000
0.430430 0.000000 0.000000 1.000000 0.000000 0.000000
0.435435 0.000000 0.000000 1.000000 0.000000 0.000000
0.440440 0.000000 0.000000 1.000000 0.000000 0.000000
0.445445 0.000000 0.000000 1.000000 0.000000 0.000000
0.450450 0.000000 0.000000 1.000000 0.000000 0.000000
0.455455 0.000000 0.000000 1.000000 0.000000 0.000000
0.460460 0.000000 0.000000 1.000000 0.000000 0.000000
0.465465 0.000000 0.000000 1.000000 0.000000 0.000000
0.470470 0.000000 0.000000 1.000000 0.000000 0.000000
0.475475 0.000000 0.000000 1.000000 0.000000 0.000000
0.480480 0.000000 0.000000 1.000000 0.000000 0.000000
0.485485 0.000000 0.000000 1.000000 0.000000 0.000000
0.490490 0.000000 0.000000 1.000000 0.000000 0.000000
0.495495 0.000000 0.000000 1.000000 0.000000 0.000000
0.500501 0.000000 0.000000 1.000000 0.000000 0.000000
0.505506 0.000000 0.000000 1.000000 0.000000 0.000000
0.510511 0.000000 0.000000 1.000000 0.000000 0.000000
0.515516 0.000000 0.000000 1.000000 0.000000 0.000000
0.520521 0.000000 0.000000 1.000000 0.000000 0.000000
0.525526 0.000000 0.000000 1.000000 0.000000 0.000000
0.530531 0.000000 0.000000 1.000000 0.000000 0.000000
0.535536 0.000000 0.000000 1.000000 0.000000 0.000000
