s PU PA
0.0000000000 0.0000000000 0.0000000000
0.0100200401 0.0000000000 0.0000000000
0.0200400802 0.0000000000 0.0000000000
0.0300601202 0.0000000000 0.0000000000
0.0400801603 0.0000000000 0.0000000000
0.0501002004 0.0000000000 0.0000000000
0.0601202405 0.0000000000 0.0000000000
0.0701402806 0.0000000000 0.0000000000
0.0801603206 0.0000000000 0.0000000000
0.0901803607 0.0000000000 0.0000000000
0.1002004008 0.0000000000 0.0000000000
0.1102204409 0.0000000000 0.0000000000
0.1202404810 0.0000000000 0.0000000000
0.1302605210 0.0000000000 0.0000000000
0.1402805611 0.0000000000 0.0000000000
0.1503006012 0.0000000000 0.0000000000
0.1603206413 0.0000000000 0.0000000000
0.1703406814 0.0000000000 0.0000000000
0.1803607214 0.0000000000 0.0000000000
0.1903807615 0.0000000000 0.0000000000
0.2004008016 0.0000000000 0.0000000000
0.2104208417 0.0000000000 0.0000000000
0.2204408818 0.0000000000 0.0000000000
0.2304609218 0.0000000000 0.0000000000
0.2404809619 0.0000000000 0.0000000000
0.2505010020 0.0000000000 0.0000000000
0.2605210421 0.0000000000 0.0000000000
0.2705410822 0.0000000000 0.0000000000
0.2805611222 0.0000000000 0.0000000000
0.2905811623 0.0000000000 0.0000000000
0.3006012024 0.0000000000 0.0000000000
0.3106212425 0.0000000000 0.0000000000
0.3206412826 0.0000000000 0.0000000000
0.3306613226 0.0000000000 0.0000000000
0.3406813627 0.0000000000 0.0000000000
0.3507014028 0.0000000000 0.0000000000
0.3607214429 0.0000000000 0.0000000000
0.3707414830 0.0000000000 0.0000000000
0.3807615230 0.0000000000 0.0000000000
0.3907815631 0.0000000000 0.0000000000
0.4008016032 0.0000000000 0.0000000000
0.4108216433 0.0000000000 0.0000000000
0.4208416834 0.0000000000 0.0000000000
0.4308617234 0.0000000000 0.0000000000
0.4408817635 0.0000000000 0.0000000000
0.4509018036 0.0000000000 0.0000000000
0.4609218437 0.0000000000 0.0000000000
0.4709418838 0.0000000000 0.0000000000
0.4809619238 0.0000000000 0.0000000000
0.4909819639 0.0000000000 0.0000000000
0.5010020040 0.0000000000 0.0000000000
0.5110220441 0.0000000000 0.0000000000
0.5210420842 0.0000000000 0.0000000000
0.5310621242 0.0000000000 0.0000000000
0.5410821643 0.0000000000 0.0000000000
0.5511022044 0.0000000000 0.0000000000
0.5611222445 0.0000000000 0.0000000000
0.5711422846 0.0000000000 0.0000000000
0.5811623246 0.0000000000 0.0000000000
0.5911823647 0.0000000000 0.0000000000
0.6012024048 0.0000000000 0.0000000000
0.6112224449 0.0000000000 0.0000000000
0.6212424850 0.0000000000 0.0000000000
0.6312625251 0.0000000000 0.0000000000
0.6412825651 0.0000000000 0.0000000000
0.6513026052 0.0000000000 0.0000000000
0.6613226453 0.0000000000 0.0000000000
0.6713426854 0.0000000000 0.0000000000
0.6813627255 0.0000000000 0.0000000000
0.6913827655 0.0000000000 0.0000000000
0.7014028056 0.0000000000 0.0000000000
0.7114228457 0.0000000000 0.0000000000
0.7214428858 0.0000000000 0.0000000000
0.7314629259 0.0000000000 0.0000000000
0.7414829659 0.0000000000 0.0000000000
0.7515030060 0.0000000000 0.0000000000
0.7615230461 0.0000000000 0.0000000000
0.7715430862 0.0000000000 0.0000000000
0.7815631263 0.0000000000 0.0000000000
0.7915831663 0.0000000000 0.0000000000
0.8016032064 0.0000000000 0.0000000000
0.8116232465 0.0000000000 0.0000000000
0.8216432866 0.0000000000 0.0000000000
0.8316633267 0.0000000000 0.0000000000
0.8416833667 0.0000000000 0.0000000000
0.8517034068 0.0000000000 0.0000000000
0.8617234469 0.0000000000 0.0000000000
0.8717434870 0.0000000000 0.0000000000
0.8817635271 0.0000000000 0.0000000000
0.8917835671 0.0000000000 0.0000000000
0.9018036072 0.0000000000 0.0000000000
0.9118236473 0.0000000000 0.0000000000
0.9218436874 0.0000000000 0.0000000000
0.9318637275 0.0000000000 0.0000000000
0.9418837675 0.0000000000 0.0000000000
0.9519038076 0.0000000000 0.0000000000
0.9619238477 0.0000000000 0.0000000000
0.9719438878 0.0000000000 0.0000000000
0.9819639279 0.0000000000 0.0000000000
0.9919839679 0.0000000000 0.0000000000
1.0020040080 0.0000000000 0.0000000000
1.0120240481 0.0000000000 0.0000000000
1.0220440882 0.0000000000 0.0000000000
1.0320641283 0.0000000000 0.0000000000
1.0420841683 0.0000000000 0.0000000000
1.0521042084 0.0000000000 0.0000000000
1.0621242485 0.0000000000 0.0000000000
1.0721442886 0.0000000000 0.0000000000
1.0821643287 0.0000000000 0.0000000000
1.0921843687 0.0000000000 0.0000000000
1.1022044088 0.0000000000 0.0000000000
1.1122244489 0.0000000000 0.0000000000
1.1222444890 0.0000000000 0.0000000000
1.1322645291 0.0000000000 0.0000000000
1.1422845691 0.0000000000 0.0000000000
1.1523046092 0.0000000000 0.0000000000
1.1623246493 0.0000000000 0.0000000000
1.1723446894 0.0000000000 0.0000000000
1.1823647295 0.0000000000 0.0000000000
1.1923847695 0.0000000000 0.0000000000
1.2024048096 0.0000000000 0.0000000000
1.2124248497 0.0000000000 0.0000000000
1.2224448898 0.0000000000 0.0000000000
1.2324649299 0.0000000000 0.0000000000
1.2424849699 0.0000000000 0.0000000000
1.2525050100 0.0000000000 0.0000000000
1.2625250501 0.0000000000 0.0000000000
1.2725450902 0.0000000000 0.0000000000
1.2825651303 0.0000000000 0.0000000000
1.2925851703 0.0000000000 0.0000000000
1.3026052104 0.0000000000 0.0000000000
1.3126252505 0.0000000000 0.0000000000
1.3226452906 0.0000000000 0.0000000000
1.3326653307 0.0000000000 0.0000000000
1.3426853707 0.0000000000 0.0000000000
1.3527054108 0.0000000000 0.0000000000
1.3627254509 0.0000000000 0.0000000000
1.3727454910 0.0000000000 0.0000000000
1.3827655311 0.0000000000 0.0000000000
1.3927855711 0.0000000000 0.0000000000
1.4028056112 0.0000000000 0.0000000000
1.4128256513 0.0000000000 0.0000000000
1.4228456914 0.0000000000 0.0000000000
1.4328657315 0.0000000000 0.0000000000
1.4428857715 0.0000000000 0.0000000000
1.4529058116 0.0000000000 0.0000000000
1.4629258517 0.0000000000 0.0000000000
1.4729458918 0.0000000000 0.0000000000
1.4829659319 0.0000000000 0.0000000000
1.4929859719 0.0000000000 0.0000000000
1.5030060120 0.0000000000 0.0000000000
1.5130260521 0.0000000000 0.0000000000
1.5230460922 0.0000000000 0.0000000000
1.5330661323 0.0000000000 0.0000000000
1.5430861723 0.0000000000 0.0000000000
1.5531062124 0.0000000000 0.0000000000
1.5631262525 0.0000000000 0.0000000000
1.5731462926 0.0000000000 0.0000000000
1.5831663327 0.0000000000 0.0000000000
1.5931863727 0.0000000000 0.0000000000
1.6032064128 0.0000000000 0.0000000000
1.6132264529 0.0000000000 0.0000000000
1.6232464930 0.0000000000 0.0000000000
1.6332665331 0.0000000000 0.0000000000
1.6432865731 0.0000000000 0.0000000000
1.6533066132 0.0000000000 0.0000000000
1.6633266533 0.0000000000 0.0000000000
1.6733466934 0.0000000000 0.0000000000
1.6833667335 0.0000000000 0.0000000000
1.6933867735 0.0000000000 0.0000000000
1.7034068136 0.0000000000 0.0000000000
1.7134268537 0.0000000000 0.0000000000
1.7234468938 0.0000000000 0.0000000000
1.7334669339 0.0000000000 0.0000000000
1.7434869739 0.0000000000 0.0000000000
1.7535070140 0.0000000000 0.0000000000
1.7635270541 0.0000000000 0.0000000000
1.7735470942 0.0000000000 0.0000000000
1.7835671343 0.0000000000 0.0000000000
1.7935871743 0.0000000000 0.0000000000
1.8036072144 0.0000000000 0.0000000000
1.8136272545 0.0000000000 0.0000000000
1.8236472946 0.0000000000 0.0000000000
1.8336673347 0.0000000000 0.0000000000
1.8436873747 0.0000000000 0.0000000000
1.8537074148 0.0000000000 0.0000000000
1.8637274549 0.0000000000 0.0000000000
1.8737474950 0.0000000000 0.0000000000
1.8837675351 0.0000000000 0.0000000000
1.8937875752 0.0000000000 0.0000000000
1.9038076152 0.0000000000 0.0000000000
1.9138276553 0.0000000000 0.0000000000
1.9238476954 0.0000000000 0.0000000000
1.9338677355 0.0000000000 0.0000000000
1.9438877756 0.0000000000 0.0000000000
1.9539078156 0.0000000000 0.0000000000
1.9639278557 0.0000000000 0.0000000000
1.9739478958 0.0000000000 0.0000000000
1.9839679359 0.0000000000 0.0000000000
1.9939879760 0.0000000000 0.0000000000
2.0040080160 0.0000000000 0.0106594842
2.0140280561 0.0000000000 0.0370583072
2.0240480962 0.0000000000 0.0631001482
2.0340681363 0.0000000000 0.0887850071
2.0440881764 0.0000000000 0.1141128840
2.0541082164 0.0000000000 0.1390837788
2.0641282565 0.0000000000 0.1636976915
2.0741482966 0.0000000000 0.1879546222
2.0841683367 0.0000000000 0.2118545709
2.0941883768 0.0000000000 0.2353975374
2.1042084168 0.0000000000 0.2585835220
2.1142284569 0.0000000000 0.2814125244
2.1242484970 0.0000000000 0.3038845449
2.1342685371 0.0000000000 0.3259995832
2.1442885772 0.0000000000 0.3477576395
2.1543086172 0.0000000000 0.3691587138
2.1643286573 0.0000000000 0.3902028060
2.1743486974 0.0000000000 0.4108899161
2.1843687375 0.0000000000 0.4312200442
2.1943887776 0.0000000000 0.4511931902
2.2044088176 0.0000000000 0.4708093542
2.2144288577 0.0000000000 0.4900685361
2.2244488978 0.0000000000 0.5089707359
2.2344689379 0.0000000000 0.5275159538
2.2444889780 0.0000000000 0.5457041895
