k FAR FRR P_success_max product_FRR product_1_minus_FAR P_success_EER P_success_single_attempt_optimum
1 0.1661759930 0.2692335169 0.6093306371 0.2692335169 0.8338240070 0.6055834207 0.6093281822
2 0.0303914337 0.4229135493 0.7719910760 0.1788558702 0.9401407719 0.5757895589 0.6428244933
3 0.0114607997 0.4754633126 0.8621777858 0.1074857857 0.9660101453 0.4661177310 0.5651796048
4 0.0053551339 0.5079949525 0.9135716039 0.0665943813 0.9787509156 0.3658436053 0.4770554425
5 0.0033882678 0.5257495178 0.9436796884 0.0401693140 0.9831730764 0.2852342762 0.3984839078
6 0.0005956945 0.5677856374 0.9630459723 0.0335047525 0.9964311515 0.2220599355 0.3319332160
7 0.0001456026 0.5762495286 0.9779031294 0.0210995932 0.9989812269 0.1728213715 0.2762929201
8 0.0000447963 0.5796942930 0.9868938471 0.0127524080 0.9996416857 0.1344910434 0.2299338690
9 0.0000264667 0.5808419502 0.9922383529 0.0075252646 0.9997618252 0.1046603858 0.1913432535
10 0.0000144802 0.5819813883 0.9953983572 0.0044574960 0.9998552078 0.0814459998 0.1592271815
