k active_user_attempts active_attacker_attempts P_success_optimized P_success_EER P_success_single_attempt_optimum
1 1 1 0.5185250779 0.6055834207 0.6093281822
2 2 2 0.7562964763 0.5757895589 0.6428244933
3 3 3 0.8621777858 0.4661177310 0.5651796048
4 3 4 0.8621777858 0.3627292785 0.4703144091
5 3 5 0.8621777858 0.2822731700 0.3913723027
6 3 6 0.8621777858 0.2196628373 0.3256806008
7 3 7 0.8621777858 0.1709399519 0.2710152278
8 3 8 0.8621777858 0.1330241724 0.2255254181
9 3 9 0.8621777858 0.1035184008 0.1876710569
10 3 10 0.8621777858 0.0805572334 0.1561705367
