T FAR FRR
1.250000 1.000000 0.001240
1.350000 0.987892 0.002481
1.450000 0.964059 0.003721
1.550000 0.940694 0.004962
1.650000 0.917870 0.006202
1.750000 0.895642 0.007443
1.850000 0.874045 0.008683
1.950000 0.853103 0.009924
2.050000 0.832827 0.011164
2.150000 0.813224 0.012405
2.250000 0.794297 0.013645
2.350000 0.776045 0.014885
2.450000 0.758470 0.016126
2.550000 0.741572 0.017366
2.650000 0.725350 0.018607
2.750000 0.709805 0.019847
2.850000 0.694937 0.021088
2.950000 0.680745 0.022329
3.050000 0.667228 0.023570
3.150000 0.654385 0.024812
3.250000 0.642209 0.026057
3.350000 0.630690 0.027308
3.450000 0.619807 0.028569
3.550000 0.609527 0.029846
3.650000 0.599802 0.031148
3.750000 0.590565 0.032487
3.850000 0.581740 0.033872
3.950000 0.573247 0.035315
4.050000 0.565008 0.036823
4.150000 0.556959 0.038405
4.250000 0.549050 0.040063
4.350000 0.541248 0.041802
4.450000 0.533532 0.043622
4.550000 0.525892 0.045524
4.650000 0.518323 0.047509
4.750000 0.510822 0.049577
4.850000 0.503387 0.051727
4.950000 0.496020 0.053960
5.050000 0.488719 0.056275
5.150000 0.481485 0.058673
5.250000 0.474318 0.061154
5.350000 0.467218 0.063718
5.450000 0.460184 0.066364
5.550000 0.453217 0.069092
5.650000 0.446317 0.071902
5.750000 0.439485 0.074791
5.850000 0.432721 0.077757
5.950000 0.426026 0.080795
6.050000 0.419405 0.083898
6.150000 0.412861 0.087056
6.250000 0.406398 0.090258
6.350000 0.400024 0.093492
6.450000 0.393745 0.096747
6.550000 0.387568 0.100013
6.650000 0.381497 0.103284
6.750000 0.375536 0.106554
6.850000 0.369690 0.109820
6.950000 0.363958 0.113080
7.050000 0.358343 0.116335
7.150000 0.352843 0.119583
7.250000 0.347461 0.122825
7.350000 0.342195 0.126060
7.450000 0.337046 0.129289
7.550000 0.332014 0.132510
7.650000 0.327098 0.135726
7.750000 0.322299 0.138934
7.850000 0.317617 0.142136
7.950000 0.313052 0.145332
8.050000 0.308603 0.148521
8.150000 0.304270 0.151703
8.250000 0.300052 0.154879
8.350000 0.295947 0.158049
8.450000 0.291950 0.161213
8.550000 0.288054 0.164371
8.650000 0.284250 0.167525
8.750000 0.280524 0.170676
8.850000 0.276859 0.173823
8.950000 0.273240 0.176969
9.050000 0.269651 0.180113
9.150000 0.266077 0.183256
9.250000 0.262509 0.186399
9.350000 0.258940 0.189542
9.450000 0.255365 0.192684
9.550000 0.251782 0.195827
9.650000 0.248191 0.198969
9.750000 0.244591 0.202112
9.850000 0.240981 0.205254
9.950000 0.237362 0.208397
10.050000 0.233733 0.211539
10.150000 0.230094 0.214682
10.250000 0.226446 0.217824
10.350000 0.222789 0.220967
10.450000 0.219122 0.224109
10.550000 0.215446 0.227251
10.650000 0.211760 0.230394
10.750000 0.208066 0.233535
10.850000 0.204364 0.236676
10.950000 0.200656 0.239815
11.050000 0.196945 0.242952
11.150000 0.193236 0.246085
11.250000 0.189534 0.249211
11.350000 0.185846 0.252331
11.450000 0.182179 0.255441
11.550000 0.178542 0.258540
11.650000 0.174938 0.261628
11.750000 0.171373 0.264704
11.850000 0.167850 0.267767
11.950000 0.164370 0.270816
12.050000 0.160934 0.273853
12.150000 0.157544 0.276876
12.250000 0.154199 0.279887
12.350000 0.150899 0.282884
12.450000 0.147644 0.285867
12.550000 0.144434 0.288838
12.650000 0.141270 0.291795
12.750000 0.138151 0.294739
12.850000 0.135077 0.297670
12.950000 0.132049 0.300587
13.050000 0.129066 0.303491
13.150000 0.126128 0.306382
13.250000 0.123235 0.309259
13.350000 0.120387 0.312122
13.450000 0.117584 0.314970
13.550000 0.114826 0.317801
13.650000 0.112111 0.320615
13.750000 0.109439 0.323409
13.850000 0.106810 0.326182
