T FAR_uniform FRR_uniform FAR_quadratic FRR_quadratic
0.000000 1.000000 0.000000 0.913177 0.069553
0.100000 1.000000 0.000000 0.908805 0.070242
0.200000 1.000000 0.000000 0.904345 0.070934
0.300000 1.000000 0.000000 0.899797 0.071629
0.400000 1.000000 0.000000 0.895164 0.072326
0.500000 1.000000 0.000000 0.890446 0.073027
0.600000 1.000000 0.000000 0.885644 0.073730
0.700000 1.000000 0.000000 0.880761 0.074437
0.800000 1.000000 0.000000 0.875797 0.075146
0.900000 1.000000 0.000000 0.870755 0.075858
1.000000 1.000000 0.000000 0.865634 0.076572
1.100000 1.000000 0.000000 0.860437 0.077290
1.200000 1.000000 0.000000 0.855165 0.078011
1.300000 0.998182 0.000513 0.849819 0.078734
1.400000 0.994545 0.001538 0.844402 0.079460
1.500000 0.990909 0.002564 0.838913 0.080189
1.600000 0.987273 0.003590 0.833355 0.080921
1.700000 0.983636 0.004615 0.827728 0.081656
1.800000 0.980000 0.005641 0.822035 0.082393
1.900000 0.976364 0.006667 0.816277 0.083133
2.000000 0.972727 0.007692 0.810454 0.083876
2.100000 0.969091 0.008718 0.804569 0.084622
2.200000 0.965455 0.009744 0.798623 0.085370
2.300000 0.961818 0.010769 0.792616 0.086122
2.400000 0.958182 0.011795 0.786552 0.086876
2.500000 0.954545 0.012821 0.780430 0.087632
2.600000 0.950909 0.013846 0.774252 0.088392
2.700000 0.947273 0.014872 0.768020 0.089154
2.800000 0.943636 0.015897 0.761734 0.089919
2.900000 0.940000 0.016923 0.755398 0.090687
3.000000 0.936364 0.017949 0.749011 0.091457
3.100000 0.932727 0.018974 0.742574 0.092230
3.200000 0.929091 0.020000 0.736091 0.093006
3.300000 0.925455 0.021026 0.729561 0.093785
3.400000 0.921818 0.022051 0.722987 0.094566
3.500000 0.918182 0.023077 0.716369 0.095350
3.600000 0.914545 0.024103 0.709709 0.096136
3.700000 0.910909 0.025128 0.703008 0.096925
3.800000 0.907273 0.026154 0.696268 0.097717
3.900000 0.903636 0.027179 0.689491 0.098511
4.000000 0.900000 0.028205 0.682676 0.099308
4.100000 0.896364 0.029231 0.675827 0.100108
4.200000 0.892727 0.030256 0.668943 0.100911
4.300000 0.889091 0.031282 0.662027 0.101715
4.400000 0.885455 0.032308 0.655081 0.102523
4.500000 0.881818 0.033333 0.648104 0.103333
4.600000 0.878182 0.034359 0.641099 0.104146
4.700000 0.874545 0.035385 0.634068 0.104961
4.800000 0.870909 0.036410 0.627010 0.105779
4.900000 0.867273 0.037436 0.619929 0.106599
5.000000 0.863636 0.038462 0.612825 0.107423
5.100000 0.860000 0.039487 0.605699 0.108248
5.200000 0.856364 0.040513 0.598553 0.109076
5.300000 0.852727 0.041538 0.591388 0.109907
5.400000 0.849091 0.042564 0.584207 0.110740
5.500000 0.845455 0.043590 0.577009 0.111576
5.600000 0.841818 0.044615 0.569797 0.112414
5.700000 0.838182 0.045641 0.562571 0.113255
5.800000 0.834545 0.046667 0.555334 0.114098
5.900000 0.830909 0.047692 0.548086 0.114944
6.000000 0.827273 0.048718 0.540829 0.115792
6.100000 0.823636 0.049744 0.533564 0.116643
6.200000 0.820000 0.050769 0.526293 0.117496
