score genuine impostor
1.000000 22 774
3.000000 22 230
5.000000 44 206
7.000000 70 152
9.000000 58 84
11.000000 56 104
13.000000 70 80
15.000000 39 60
17.000000 42 30
19.000000 40 24
21.000000 29 6
23.000000 39 8
25.000000 26 0
27.000000 9 0
29.000000 22 2
31.000000 19 0
33.000000 12 0
35.000000 21 0
37.000000 35 0
39.000000 18 0
41.000000 20 0
43.000000 19 0
45.000000 23 0
47.000000 25 0
49.000000 30 0
51.000000 38 0
53.000000 16 0
55.000000 9 0
57.000000 15 0
59.000000 8 0
61.000000 18 0
63.000000 16 0
65.000000 8 0
67.000000 7 0
69.000000 5 0
71.000000 8 0
73.000000 4 0
75.000000 2 0
77.000000 2 0
79.000000 3 0
81.000000 2 0
83.000000 0 0
85.000000 0 0
87.000000 1 0
89.000000 0 0
91.000000 3 0
93.000000 2 0
95.000000 0 0
97.000000 1 0
99.000000 2 0
