T P_and P_or
1.000000 0.800000 0.000000
1.100000 0.800000 0.000000
1.200000 0.800000 0.000000
1.300000 0.800000 0.000000
1.400000 0.800000 0.000000
1.500000 0.800000 0.000000
1.600000 0.800000 0.000000
1.700000 0.800000 0.000000
1.800000 0.800000 0.000000
1.900000 0.800000 0.000000
2.000000 0.800000 0.000000
2.100000 0.800000 0.000000
2.200000 0.800000 0.000000
2.300000 0.800000 0.000000
2.400000 0.800000 0.000000
2.500000 0.800000 0.000000
2.600000 0.800000 0.000000
2.700000 0.800000 0.000000
2.800000 0.800000 0.000000
2.900000 0.800000 0.000000
3.000000 0.800000 0.000000
3.100000 0.800000 0.000000
3.200000 0.800000 0.000000
3.300000 0.800000 0.000000
3.400000 0.800000 0.000000
3.500000 0.800000 0.000000
3.600000 0.800000 0.000000
3.700000 0.800000 0.000000
3.800000 0.800000 0.000000
3.900000 0.800000 0.000000
4.000000 0.800000 0.000000
4.100000 0.800000 0.000000
4.200000 0.800000 0.000000
4.300000 0.800000 0.000000
4.400000 0.800000 0.000000
4.500000 0.800000 0.000000
4.600000 0.800000 0.000000
4.700000 0.800000 0.000000
4.800000 0.800000 0.000000
4.900000 0.800000 0.000000
5.000000 0.800000 0.000000
5.100000 0.800000 0.000000
5.200000 0.800000 0.000000
5.300000 0.800000 0.000000
5.400000 0.800000 0.000000
5.500000 0.800000 0.000000
5.600000 0.800000 0.000000
5.700000 0.800000 0.000000
5.800000 0.800000 0.000000
5.900000 0.800000 0.000000
6.000000 0.800000 0.000000
6.100000 0.800000 0.000001
6.200000 0.800001 0.000004
6.300000 0.800002 0.000012
6.400000 0.800006 0.000031
6.500000 0.800013 0.000073
6.600000 0.800028 0.000158
6.700000 0.800056 0.000314
6.800000 0.800103 0.000574
6.900000 0.800174 0.000972
7.000000 0.800274 0.001532
7.100000 0.800404 0.002264
7.200000 0.800564 0.003159
7.300000 0.800748 0.004191
7.400000 0.800951 0.005328
7.500000 0.801167 0.006535
7.600000 0.801390 0.007785
7.700000 0.801617 0.009058
7.800000 0.801847 0.010343
7.900000 0.802077 0.011632
8.000000 0.802308 0.012923
8.100000 0.802538 0.014215
8.200000 0.802769 0.015508
8.300000 0.803000 0.016800
8.400000 0.803231 0.018092
8.500000 0.803462 0.019385
8.600000 0.803692 0.020677
8.700000 0.803923 0.021969
8.800000 0.804154 0.023262
8.900000 0.804385 0.024554
9.000000 0.804615 0.025846
9.100000 0.804846 0.027138
9.200000 0.805077 0.028431
9.300000 0.805308 0.029723
9.400000 0.805538 0.031015
9.500000 0.805769 0.032308
9.600000 0.806000 0.033600
9.700000 0.806231 0.034892
9.800000 0.806462 0.036185
9.900000 0.806692 0.037477
10.000000 0.806923 0.038769
10.100000 0.807154 0.040062
10.200000 0.807385 0.041354
10.300000 0.807615 0.042646
10.400000 0.807846 0.043938
10.500000 0.808077 0.045231
10.600000 0.808308 0.046523
10.700000 0.808538 0.047815
10.800000 0.808769 0.049108
10.900000 0.809000 0.050400
11.000000 0.809231 0.051692
11.100000 0.809462 0.052985
11.200000 0.809692 0.054277
11.300000 0.809923 0.055569
11.400000 0.810154 0.056862
11.500000 0.810385 0.058154
11.600000 0.810615 0.059446
11.700000 0.810846 0.060738
11.800000 0.811077 0.062031
11.900000 0.811308 0.063323
12.000000 0.811538 0.064615
12.100000 0.811769 0.065908
12.200000 0.812000 0.067200
12.300000 0.812231 0.068492
12.400000 0.812462 0.069785
12.500000 0.812692 0.071077
12.600000 0.812923 0.072369
12.700000 0.813154 0.073662
12.800000 0.813385 0.074954
12.900000 0.813615 0.076246
13.000000 0.813846 0.077538
13.100000 0.814077 0.078831
13.200000 0.814308 0.080123
13.300000 0.814538 0.081415
13.400000 0.814769 0.082708
13.500000 0.815000 0.084000
13.600000 0.815231 0.085292
13.700000 0.815462 0.086585
13.800000 0.815692 0.087877
13.900000 0.815923 0.089169
14.000000 0.816154 0.090462
14.100000 0.816385 0.091754
14.200000 0.816615 0.093046
14.300000 0.816846 0.094338
14.400000 0.817077 0.095631
14.500000 0.817308 0.096923
14.600000 0.817538 0.098215
14.700000 0.817769 0.099508
14.800000 0.818000 0.100800
14.900000 0.818231 0.102092
15.000000 0.818462 0.103385
15.100000 0.818692 0.104677
15.200000 0.818923 0.105969
15.300000 0.819154 0.107262
15.400000 0.819385 0.108554
15.500000 0.819615 0.109846
15.600000 0.819846 0.111138
15.700000 0.820077 0.112431
15.800000 0.820308 0.113723
15.900000 0.820538 0.115015
16.000000 0.820769 0.116308
16.100000 0.821000 0.117600
16.200000 0.821231 0.118892
16.300000 0.821462 0.120185
16.400000 0.821692 0.121477
16.500000 0.821923 0.122769
16.600000 0.822154 0.124062
16.700000 0.822385 0.125354
16.800000 0.822615 0.126646
16.900000 0.822846 0.127938
17.000000 0.823077 0.129231
17.100000 0.823308 0.130523
17.200000 0.823538 0.131815
17.300000 0.823769 0.133108
17.400000 0.824000 0.134400
17.500000 0.824231 0.135692
17.600000 0.824462 0.136985
17.700000 0.824692 0.138277
17.800000 0.824923 0.139569
17.900000 0.825154 0.140862
18.000000 0.825385 0.142154
18.100000 0.825615 0.143446
18.200000 0.825846 0.144738
18.300000 0.826077 0.146031
18.400000 0.826308 0.147323
18.500000 0.826538 0.148615
18.600000 0.826769 0.149908
18.700000 0.827000 0.151200
18.800000 0.827231 0.152492
18.900000 0.827462 0.153785
