k_user k_attacker P_success_max thresholds_opt FARs_opt FRRs_opt product_FRR_user product_1_minus_FAR_attacker P_user_success P_attacker_rejected P_attacker_success mean_user_attempts_given_success
1 1 0.6093306371 11.898096 0.1661759892 0.2692335202 0.2692335202 0.8338240108 0.7307664798 0.8338240108 0.1661759892 1.0000000000
2 1 0.9992725111 29.350000,1.250000 0.0000014234,1.0000000000 0.5853222242,0.0012404561 0.0007260665 0.9999985766 0.9992739335 0.9999985766 0.0000014234 1.5850209218
3 1 0.9999990897 29.949999,1.250000,1.250000 0.0000000000,1.0000000000,1.0000000000 0.5915735507,0.0012404561,0.0012404561 0.0000009103 1.0000000000 0.9999990897 1.0000000000 0.0000000000 1.5923060903
4 1 0.9999999989 29.950066,1.250000,1.250000,1.250000 0.0000000000,1.0000000000,1.0000000000,1.0000000000 0.5915742157,0.0012404561,0.0012404561,0.0012404561 0.0000000011 1.0000000000 0.9999999989 1.0000000000 0.0000000000 1.5923089451
5 1 1.0000000000 30.448834,1.250000,1.250000,1.250000,1.250000 0.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000 0.5963181027,0.0012404561,0.0012404561,0.0012404561,0.0012404561 0.0000000000 1.0000000000 1.0000000000 1.0000000000 0.0000000000 1.5970587278
6 1 1.0000000000 29.951381,1.250000,1.250000,1.250000,1.250000,1.250000 0.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000 0.5915871495,0.0012404561,0.0012404561,0.0012404561,0.0012404561,0.0012404561 0.0000000000 1.0000000000 1.0000000000 1.0000000000 0.0000000000 1.5923218988
7 1 1.0000000000 98.750000,1.250000,1.250000,1.250000,1.250000,1.250000,1.250000 0.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000 1.0000000000,0.0012404561,0.0012404561,0.0012404561,0.0012404561,0.0012404561,0.0012404561 0.0000000000 1.0000000000 1.0000000000 1.0000000000 0.0000000000 2.0012419968
8 1 1.0000000000 93.134741,2.110655,1.695505,1.522607,1.866540,1.706552,1.445885,1.562583 0.0000000000,0.8209369870,0.9077550537,0.9470946697,0.8705809917,0.9052994900,0.9650397187,0.9378223612 0.9971356171,0.0119164997,0.0067667559,0.0046220235,0.0088883604,0.0069037858,0.0036703177,0.0051179152 0.0000000000 1.0000000000 1.0000000000 1.0000000000 0.0000000000 2.0090987634
9 1 1.0000000000 30.716420,1.250000,1.250000,1.250000,1.250000,1.250000,1.250000,1.250000,1.250000 0.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000 0.5986943682,0.0012404561,0.0012404561,0.0012404561,0.0012404561,0.0012404561,0.0012404561,0.0012404561,0.0012404561 0.0000000000 1.0000000000 1.0000000000 1.0000000000 0.0000000000 1.5994379447
10 1 1.0000000000 29.962427,1.250000,1.250000,1.250000,1.250000,1.250000,1.250000,1.250000,1.250000,1.250000 0.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000 0.5916958509,0.0012404561,0.0012404561,0.0012404561,0.0012404561,0.0012404561,0.0012404561,0.0012404561,0.0012404561,0.0012404561 0.0000000000 1.0000000000 1.0000000000 1.0000000000 0.0000000000 1.5924307352
1 2 0.6093306371 11.898096,34.847540 0.1661759892,0.0000000000 0.2692335202,0.6422649906 0.2692335202 0.8338240108 0.7307664798 0.8338240108 0.1661759892 1.0000000000
2 2 0.7719910760 18.050000,18.050000 0.0303914337,0.0303914337 0.4229135493,0.4229135493 0.1788558702 0.9401407719 0.8211441298 0.9401407719 0.0598592281 1.2972166155
3 2 0.9995723523 29.449999,29.449986,1.250000 0.0000005456,0.0000005457,0.9999999999 0.5864051650,0.5864050294,0.0012404561 0.0004265568 0.9999989087 0.9995734432 0.9999989087 0.0000010913 1.9298196103
4 2 0.9999994615 29.950000,29.950000,1.250000,1.250000 0.0000000000,0.0000000000,1.0000000000,1.0000000000 0.5915735644,0.5915735644,0.0012404561,0.0012404561 0.0000005385 1.0000000000 0.9999994615 1.0000000000 0.0000000000 1.9419658474
5 2 0.9999999993 29.950179,30.010595,1.250000,1.250000,1.250000 0.0000000000,0.0000000000,1.0000000000,1.0000000000,1.0000000000 0.5915753229,0.5921698755,0.0012404561,0.0012404561,0.0012404561 0.0000000007 1.0000000000 0.9999999993 1.0000000000 0.0000000000 1.9423234932
