k_user P_success_ka1 P_success_ka2 P_success_ka3 P_success_ka4 P_success_ka5 P_success_ka6 P_success_ka7 P_success_ka8 P_success_ka9 P_success_ka10
1 0.6093306371 0.6093306371 0.6093306371 0.6093306371 0.6093306371 0.6093306371 0.6093306371 0.6093306371 0.6093306371 0.6093306371
2 0.9992725111 0.7719910760 0.7719910760 0.7719910760 0.7719910760 0.7719910760 0.7719910760 0.7719910760 0.7719910760 0.7719910760
3 0.9999990897 0.9995723523 0.8621777858 0.8621777858 0.8621777858 0.8621777858 0.8621777858 0.8621777858 0.8621777858 0.8621777858
4 0.9999999989 0.9999994615 0.9997482284 0.9135716039 0.9135716039 0.9135716039 0.9135716039 0.9135716039 0.9135716039 0.9135716039
5 1.0000000000 0.9999999993 0.9999996814 0.9998514954 0.9436796884 0.9436796883 0.9436796883 0.9436796883 0.9436796883 0.9436796883
6 1.0000000000 1.0000000000 0.9999999996 0.9999998115 0.9999122582 0.9630459723 0.9630459723 0.9630459723 0.9630459723 0.9630459723
7 1.0000000000 1.0000000000 1.0000000000 0.9999999998 0.9999998885 0.9999481124 0.9779031294 0.9779031293 0.9779031293 0.9779031293
8 1.0000000000 1.0000000000 1.0000000000 1.0000000000 0.9999999999 0.9999999340 0.9999692630 0.9868938471 0.9868938470 0.9868938470
9 1.0000000000 1.0000000000 1.0000000000 1.0000000000 1.0000000000 0.9999999999 0.9999999610 0.9999817769 0.9922383529 0.9922383528
10 1.0000000000 1.0000000000 1.0000000000 1.0000000000 1.0000000000 1.0000000000 1.0000000000 0.9999999769 0.9999891929 0.9953983572
