kind,probe,target,score
genuine,Training__Digital_Persona__Live__008_8_0.png__4dc2e66c__008_8_0.png,Testing__Digital_Persona__Live__008_8_0.png__e3f36aa5__008_8_0.png,373.5210741111
genuine,Training__Digital_Persona__Live__008_8_0.png__4dc2e66c__008_8_0.png,Testing__Digital_Persona__Live__008_8_1.png__3841b3f8__008_8_1.png,31.5997542988
genuine,Training__Digital_Persona__Live__008_8_0.png__4dc2e66c__008_8_0.png,Testing__Digital_Persona__Live__008_8_2.png__4e6e4031__008_8_2.png,17.1661130059
genuine,Training__Digital_Persona__Live__008_8_0.png__4dc2e66c__008_8_0.png,Testing__Digital_Persona__Live__008_8_3.png__f29668da__008_8_3.png,34.7545021739
genuine,Training__Digital_Persona__Live__008_8_0.png__4dc2e66c__008_8_0.png,Testing__Digital_Persona__Live__008_8_4.png__07e1ba06__008_8_4.png,33.1821255596
genuine,Training__Digital_Persona__Live__008_8_0.png__4dc2e66c__008_8_0.png,Testing__Digital_Persona__Live__008_8_5.png__c9db830a__008_8_5.png,73.8350763664
genuine,Training__Digital_Persona__Live__008_8_0.png__4dc2e66c__008_8_0.png,Testing__Digital_Persona__Live__008_8_6.png__2a2457e2__008_8_6.png,14.7221550985
genuine,Training__Digital_Persona__Live__008_8_0.png__4dc2e66c__008_8_0.png,Testing__Digital_Persona__Live__008_8_7.png__5c7e4ede__008_8_7.png,55.0289017774
genuine,Training__Digital_Persona__Live__008_8_0.png__4dc2e66c__008_8_0.png,Testing__Digital_Persona__Live__008_8_8.png__bb74d5d8__008_8_8.png,34.0099261869
genuine,Training__Digital_Persona__Live__008_8_0.png__4dc2e66c__008_8_0.png,Testing__Digital_Persona__Live__008_8_9.png__f5b7606c__008_8_9.png,28.9872795276
genuine,Training__Digital_Persona__Live__008_8_0.png__4dc2e66c__008_8_0.png,Training__Digital_Persona__Live__008_8_6.png__dbea8c4b__008_8_6.png,14.7221550985
genuine,Training__Digital_Persona__Live__008_8_0.png__4dc2e66c__008_8_0.png,Training__Digital_Persona__Live__008_8_7.png__16dd1d2f__008_8_7.png,55.0289017774
genuine,Training__Digital_Persona__Live__008_8_0.png__4dc2e66c__008_8_0.png,Training__Digital_Persona__Live__008_8_8.png__a1b0b353__008_8_8.png,34.0099261869
genuine,Training__Digital_Persona__Live__008_8_0.png__4dc2e66c__008_8_0.png,Training__Digital_Persona__Live__008_8_9.png__b65b47e1__008_8_9.png,28.9872795276
genuine,Training__Digital_Persona__Live__008_8_1.png__f8ea23e2__008_8_1.png,Testing__Digital_Persona__Live__008_8_0.png__e3f36aa5__008_8_0.png,31.5997529273
genuine,Training__Digital_Persona__Live__008_8_1.png__f8ea23e2__008_8_1.png,Testing__Digital_Persona__Live__008_8_1.png__3841b3f8__008_8_1.png,431.8133145035
genuine,Training__Digital_Persona__Live__008_8_1.png__f8ea23e2__008_8_1.png,Testing__Digital_Persona__Live__008_8_2.png__4e6e4031__008_8_2.png,53.1807329189
genuine,Training__Digital_Persona__Live__008_8_1.png__f8ea23e2__008_8_1.png,Testing__Digital_Persona__Live__008_8_3.png__f29668da__008_8_3.png,53.0441893613
genuine,Training__Digital_Persona__Live__008_8_1.png__f8ea23e2__008_8_1.png,Testing__Digital_Persona__Live__008_8_4.png__07e1ba06__008_8_4.png,5.8344722657
genuine,Training__Digital_Persona__Live__008_8_1.png__f8ea23e2__008_8_1.png,Testing__Digital_Persona__Live__008_8_5.png__c9db830a__008_8_5.png,45.0646928397
genuine,Training__Digital_Persona__Live__008_8_1.png__f8ea23e2__008_8_1.png,Testing__Digital_Persona__Live__008_8_6.png__2a2457e2__008_8_6.png,2.3730458344
genuine,Training__Digital_Persona__Live__008_8_1.png__f8ea23e2__008_8_1.png,Testing__Digital_Persona__Live__008_8_7.png__5c7e4ede__008_8_7.png,35.4977520743
genuine,Training__Digital_Persona__Live__008_8_1.png__f8ea23e2__008_8_1.png,Testing__Digital_Persona__Live__008_8_8.png__bb74d5d8__008_8_8.png,13.3713710391
genuine,Training__Digital_Persona__Live__008_8_1.png__f8ea23e2__008_8_1.png,Testing__Digital_Persona__Live__008_8_9.png__f5b7606c__008_8_9.png,4.7515405650
genuine,Training__Digital_Persona__Live__008_8_1.png__f8ea23e2__008_8_1.png,Training__Digital_Persona__Live__008_8_6.png__dbea8c4b__008_8_6.png,2.3730458344
genuine,Training__Digital_Persona__Live__008_8_1.png__f8ea23e2__008_8_1.png,Training__Digital_Persona__Live__008_8_7.png__16dd1d2f__008_8_7.png,35.4977520743
genuine,Training__Digital_Persona__Live__008_8_1.png__f8ea23e2__008_8_1.png,Training__Digital_Persona__Live__008_8_8.png__a1b0b353__008_8_8.png,13.3713710391
genuine,Training__Digital_Persona__Live__008_8_1.png__f8ea23e2__008_8_1.png,Training__Digital_Persona__Live__008_8_9.png__b65b47e1__008_8_9.png,4.7515405650
genuine,Training__Digital_Persona__Live__008_8_2.png__3a6ad8c6__008_8_2.png,Testing__Digital_Persona__Live__008_8_0.png__e3f36aa5__008_8_0.png,17.1661130059
genuine,Training__Digital_Persona__Live__008_8_2.png__3a6ad8c6__008_8_2.png,Testing__Digital_Persona__Live__008_8_1.png__3841b3f8__008_8_1.png,54.6678004090
genuine,Training__Digital_Persona__Live__008_8_2.png__3a6ad8c6__008_8_2.png,Testing__Digital_Persona__Live__008_8_2.png__4e6e4031__008_8_2.png,443.4717626543
genuine,Training__Digital_Persona__Live__008_8_2.png__3a6ad8c6__008_8_2.png,Testing__Digital_Persona__Live__008_8_3.png__f29668da__008_8_3.png,43.4002550609
genuine,Training__Digital_Persona__Live__008_8_2.png__3a6ad8c6__008_8_2.png,Testing__Digital_Persona__Live__008_8_4.png__07e1ba06__008_8_4.png,3.4841830122
genuine,Training__Digital_Persona__Live__008_8_2.png__3a6ad8c6__008_8_2.png,Testing__Digital_Persona__Live__008_8_5.png__c9db830a__008_8_5.png,14.7407076565
genuine,Training__Digital_Persona__Live__008_8_2.png__3a6ad8c6__008_8_2.png,Testing__Digital_Persona__Live__008_8_6.png__2a2457e2__008_8_6.png,17.1424341420
genuine,Training__Digital_Persona__Live__008_8_2.png__3a6ad8c6__008_8_2.png,Testing__Digital_Persona__Live__008_8_7.png__5c7e4ede__008_8_7.png,37.3783146367
