kind,target,best_score_over_all_probes
genuine,Testing__Digital_Persona__Live__002_0_0.png__7166d455__002_0_0.png,152.0105592453
genuine,Testing__Digital_Persona__Live__002_0_1.png__789d8dd0__002_0_1.png,233.6196963011
genuine,Testing__Digital_Persona__Live__002_0_2.png__5bcae078__002_0_2.png,338.5457296586
genuine,Testing__Digital_Persona__Live__002_0_3.png__6eccae1b__002_0_3.png,303.5703852061
genuine,Testing__Digital_Persona__Live__002_0_4.png__c4149397__002_0_4.png,233.6196963011
genuine,Testing__Digital_Persona__Live__002_0_5.png__cfd2ca13__002_0_5.png,338.5457296586
genuine,Testing__Digital_Persona__Live__002_0_6.png__1b6cb740__002_0_6.png,128.4032033429
genuine,Testing__Digital_Persona__Live__002_0_7.png__b6f3bf6b__002_0_7.png,106.9017123231
genuine,Testing__Digital_Persona__Live__002_0_8.png__3617a7bb__002_0_8.png,107.2901612944
genuine,Testing__Digital_Persona__Live__002_0_9.png__bf7ae42a__002_0_9.png,126.1758381697
genuine,Testing__Digital_Persona__Live__002_1_0.png__83dcd51a__002_1_0.png,175.3274559087
genuine,Testing__Digital_Persona__Live__002_1_1.png__07a804d3__002_1_1.png,186.9859036978
genuine,Testing__Digital_Persona__Live__002_1_2.png__0dc098e3__002_1_2.png,175.3274559087
genuine,Testing__Digital_Persona__Live__002_1_3.png__eeed3f11__002_1_3.png,186.9859036978
genuine,Testing__Digital_Persona__Live__002_1_4.png__ff998cc4__002_1_4.png,140.3521110944
genuine,Testing__Digital_Persona__Live__002_1_5.png__b0ad3ecf__002_1_5.png,175.3274559087
genuine,Testing__Digital_Persona__Live__002_1_6.png__d8c27711__002_1_6.png,55.4605778052
genuine,Testing__Digital_Persona__Live__002_1_7.png__cac530d0__002_1_7.png,117.9384262701
genuine,Testing__Digital_Persona__Live__002_1_8.png__7db26507__002_1_8.png,46.5321543934
genuine,Testing__Digital_Persona__Live__002_1_9.png__64c9d6de__002_1_9.png,145.5574588881
genuine,Testing__Digital_Persona__Live__002_2_0.png__9fc0c175__002_2_0.png,256.9365926028
genuine,Testing__Digital_Persona__Live__002_2_1.png__f27f489f__002_2_1.png,221.9612481503
genuine,Testing__Digital_Persona__Live__002_2_2.png__b50fbccb__002_2_2.png,175.3274559087
genuine,Testing__Digital_Persona__Live__002_2_3.png__c8571892__002_2_3.png,210.3027999994
genuine,Testing__Digital_Persona__Live__002_2_4.png__acb90829__002_2_4.png,233.6196963011
genuine,Testing__Digital_Persona__Live__002_2_5.png__f04c7a78__002_2_5.png,256.9365926028
genuine,Testing__Digital_Persona__Live__002_2_6.png__9115c8e2__002_2_6.png,85.4896820871
genuine,Testing__Digital_Persona__Live__002_2_7.png__1d246f27__002_2_7.png,133.6882126527
genuine,Testing__Digital_Persona__Live__002_2_8.png__a43b1087__002_2_8.png,134.27628657
genuine,Testing__Digital_Persona__Live__002_2_9.png__55b99f3e__002_2_9.png,171.631620754
genuine,Testing__Digital_Persona__Live__002_3_0.png__44904b6a__002_3_0.png,420.1548663527
genuine,Testing__Digital_Persona__Live__002_3_1.png__220063ea__002_3_1.png,408.4964182018
genuine,Testing__Digital_Persona__Live__002_3_2.png__8459bb85__002_3_2.png,280.2534889044
genuine,Testing__Digital_Persona__Live__002_3_3.png__e2367693__002_3_3.png,315.2288333569
genuine,Testing__Digital_Persona__Live__002_3_4.png__c24734c5__002_3_4.png,315.2288333569
genuine,Testing__Digital_Persona__Live__002_3_5.png__99c52b0f__002_3_5.png,408.4964182018
genuine,Testing__Digital_Persona__Live__002_3_6.png__0baf6729__002_3_6.png,83.6266714153
genuine,Testing__Digital_Persona__Live__002_3_7.png__76ea740d__002_3_7.png,93.6155243163
genuine,Testing__Digital_Persona__Live__002_3_8.png__32e54f6c__002_3_8.png,155.4541542692
genuine,Testing__Digital_Persona__Live__002_3_9.png__9fb32dce__002_3_9.png,110.7243666332
genuine,Testing__Digital_Persona__Live__002_4_0.png__d313964a__002_4_0.png,361.8626259603
genuine,Testing__Digital_Persona__Live__002_4_1.png__40a9b764__002_4_1.png,326.8872815078
