kind,probe,target,score
genuine,Training__Digital_Persona__Live__002_0_0.png__2467590c__002_0_0.png,Testing__Digital_Persona__Live__002_0_0.png__7166d455__002_0_0.png,152.0105592453
genuine,Training__Digital_Persona__Live__002_0_0.png__2467590c__002_0_0.png,Testing__Digital_Persona__Live__002_0_1.png__789d8dd0__002_0_1.png,49.1633177032
genuine,Training__Digital_Persona__Live__002_0_0.png__2467590c__002_0_0.png,Testing__Digital_Persona__Live__002_0_2.png__5bcae078__002_0_2.png,71.7474028158
genuine,Training__Digital_Persona__Live__002_0_0.png__2467590c__002_0_0.png,Testing__Digital_Persona__Live__002_0_3.png__6eccae1b__002_0_3.png,12.2439400607
genuine,Training__Digital_Persona__Live__002_0_0.png__2467590c__002_0_0.png,Testing__Digital_Persona__Live__002_0_4.png__c4149397__002_0_4.png,27.5360017388
genuine,Training__Digital_Persona__Live__002_0_0.png__2467590c__002_0_0.png,Testing__Digital_Persona__Live__002_0_5.png__cfd2ca13__002_0_5.png,27.8070953414
genuine,Training__Digital_Persona__Live__002_0_0.png__2467590c__002_0_0.png,Testing__Digital_Persona__Live__002_0_6.png__1b6cb740__002_0_6.png,3.2401324910
genuine,Training__Digital_Persona__Live__002_0_0.png__2467590c__002_0_0.png,Testing__Digital_Persona__Live__002_0_7.png__b6f3bf6b__002_0_7.png,93.0845202236
genuine,Training__Digital_Persona__Live__002_0_0.png__2467590c__002_0_0.png,Testing__Digital_Persona__Live__002_0_8.png__3617a7bb__002_0_8.png,16.2479764521
genuine,Training__Digital_Persona__Live__002_0_0.png__2467590c__002_0_0.png,Testing__Digital_Persona__Live__002_0_9.png__bf7ae42a__002_0_9.png,12.5274960541
genuine,Training__Digital_Persona__Live__002_0_0.png__2467590c__002_0_0.png,Training__Digital_Persona__Live__002_0_6.png__c8c0e2ff__002_0_6.png,3.2401324910
genuine,Training__Digital_Persona__Live__002_0_0.png__2467590c__002_0_0.png,Training__Digital_Persona__Live__002_0_7.png__b70dc778__002_0_7.png,93.0845202236
genuine,Training__Digital_Persona__Live__002_0_0.png__2467590c__002_0_0.png,Training__Digital_Persona__Live__002_0_8.png__1397a305__002_0_8.png,16.2479764521
genuine,Training__Digital_Persona__Live__002_0_0.png__2467590c__002_0_0.png,Training__Digital_Persona__Live__002_0_9.png__173d8e04__002_0_9.png,12.5274960541
genuine,Training__Digital_Persona__Live__002_0_1.png__72bfe504__002_0_1.png,Testing__Digital_Persona__Live__002_0_0.png__7166d455__002_0_0.png,49.1633177032
genuine,Training__Digital_Persona__Live__002_0_1.png__72bfe504__002_0_1.png,Testing__Digital_Persona__Live__002_0_1.png__789d8dd0__002_0_1.png,233.6196963011
genuine,Training__Digital_Persona__Live__002_0_1.png__72bfe504__002_0_1.png,Testing__Digital_Persona__Live__002_0_2.png__5bcae078__002_0_2.png,108.3634770786
genuine,Training__Digital_Persona__Live__002_0_1.png__72bfe504__002_0_1.png,Testing__Digital_Persona__Live__002_0_3.png__6eccae1b__002_0_3.png,35.1337544574
genuine,Training__Digital_Persona__Live__002_0_1.png__72bfe504__002_0_1.png,Testing__Digital_Persona__Live__002_0_4.png__c4149397__002_0_4.png,47.5252774646
genuine,Training__Digital_Persona__Live__002_0_1.png__72bfe504__002_0_1.png,Testing__Digital_Persona__Live__002_0_5.png__cfd2ca13__002_0_5.png,36.9639641497
genuine,Training__Digital_Persona__Live__002_0_1.png__72bfe504__002_0_1.png,Testing__Digital_Persona__Live__002_0_6.png__1b6cb740__002_0_6.png,51.8566320688
