k P_success_max product_FRR product_1_minus_FAR P_attacker P_failure threshold_min threshold_max threshold_spread
1 0.602098500917 0.224049936583 0.775950063417 0.224049936583 0.397901499083 0.400000000000 0.400000000000 0.000000000000e+00
2 0.708165393100 0.195763393882 0.880543595893 0.119456404107 0.291834606900 0.480148966996 0.480148966996 0.000000000000e+00
3 0.790929035834 0.152194861688 0.932913708696 0.067086291304 0.209070964166 0.511681413408 0.511681413408 0.000000000000e+00
4 0.851616964017 0.114735111868 0.961991123147 0.038008876853 0.148383035983 0.528344109898 0.528344110023 1.251686532200e-10
5 0.895548764274 0.084852318305 0.978583874698 0.021416125302 0.104451235726 0.538346007138 0.538346010281 3.142753945973e-09
6 0.927055132756 0.061767647869 0.988086938859 0.011913061141 0.072944867244 0.544763746735 0.544763747587 8.520707472925e-10
7 0.949443526767 0.044329399558 0.993484079482 0.006515920518 0.050556473233 0.549035529181 0.549035531034 1.853216691217e-09
8 0.965206668329 0.031405869267 0.996502701909 0.003497298091 0.034793331671 0.551935045298 0.551935046954 1.655932502231e-09
9 0.976206173307 0.021993232478 0.998158914361 0.001841085639 0.023793826693 0.553921095411 0.553921096345 9.339620188342e-10
10 0.983817672515 0.015245663126 0.999048834492 0.000951165508 0.016182327485 0.555285065547 0.555285067307 1.759616119479e-09
