a2 delta
0.4000 0.0591
0.4090 0.0570
0.4179 0.0550
0.4269 0.0530
0.4359 0.0503
0.4449 0.0473
0.4538 0.0444
0.4628 0.0412
0.4718 0.0377
0.4808 0.0338
0.4897 0.0307
0.4987 0.0275
0.5077 0.0248
0.5167 0.0222
0.5256 0.0199
0.5346 0.0177
0.5436 0.0157
0.5526 0.0139
0.5615 0.0122
0.5705 0.0107
0.5795 0.0094
0.5885 0.0082
0.5974 0.0071
0.6064 0.0061
0.6154 0.0052
0.6244 0.0043
0.6333 0.0037
0.6423 0.0030
0.6513 0.0025
0.6603 0.0020
0.6692 0.0016
0.6782 0.0012
0.6872 0.0009
0.6962 0.0006
0.7051 0.0004
0.7141 0.0003
0.7231 0.0001
0.7321 0.0001
0.7410 0.0000
0.7500 0.0000
