u1 delta
0.0500 0.0612
0.0679 0.0591
0.0859 0.0573
0.1038 0.0552
0.1218 0.0529
0.1397 0.0508
0.1577 0.0484
0.1756 0.0461
0.1936 0.0436
0.2115 0.0410
0.2295 0.0381
0.2474 0.0352
0.2654 0.0324
0.2833 0.0294
0.3013 0.0266
0.3192 0.0234
0.3372 0.0204
0.3551 0.0173
0.3731 0.0142
0.3910 0.0113
0.4090 0.0084
0.4269 0.0059
0.4449 0.0036
0.4628 0.0018
0.4808 0.0005
0.4987 0.0000
0.5167 0.0000
0.5346 0.0000
0.5526 0.0000
0.5705 0.0000
0.5885 0.0000
0.6064 0.0000
0.6244 0.0000
0.6423 0.0000
0.6603 0.0000
0.6782 0.0000
0.6962 0.0000
0.7141 0.0000
0.7321 0.0000
0.7500 0.0000
