overlap_area overlap_length P_max P_eer P_gap T_opt T_eer a1 a2 u1 u2
0.0000 0.0000 0.9999 0.9999 0.0000 0.3501 0.3501 0.0500 0.3500 0.3500 0.8500
0.0101 0.0030 0.9939 0.9925 0.0013 0.3500 0.3489 0.0500 0.3500 0.3470 0.8470
0.0202 0.0061 0.9879 0.9850 0.0029 0.3500 0.3478 0.0500 0.3500 0.3439 0.8439
0.0303 0.0091 0.9818 0.9775 0.0043 0.3500 0.3467 0.0500 0.3500 0.3409 0.8409
0.0404 0.0121 0.9757 0.9700 0.0057 0.3499 0.3455 0.0500 0.3500 0.3379 0.8379
0.0505 0.0152 0.9696 0.9626 0.0071 0.3500 0.3444 0.0500 0.3500 0.3348 0.8348
0.0606 0.0182 0.9636 0.9551 0.0085 0.3500 0.3432 0.0500 0.3500 0.3318 0.8318
0.0707 0.0212 0.9575 0.9477 0.0097 0.3500 0.3421 0.0500 0.3500 0.3288 0.8288
0.0808 0.0242 0.9515 0.9404 0.0111 0.3500 0.3410 0.0500 0.3500 0.3258 0.8258
0.0909 0.0273 0.9454 0.9331 0.0123 0.3500 0.3398 0.0500 0.3500 0.3227 0.8227
0.1010 0.0303 0.9393 0.9258 0.0136 0.3499 0.3387 0.0500 0.3500 0.3197 0.8197
0.1111 0.0333 0.9333 0.9185 0.0148 0.3500 0.3376 0.0500 0.3500 0.3167 0.8167
0.1212 0.0364 0.9272 0.9112 0.0160 0.3500 0.3364 0.0500 0.3500 0.3136 0.8136
0.1313 0.0394 0.9211 0.9040 0.0171 0.3500 0.3353 0.0500 0.3500 0.3106 0.8106
0.1414 0.0424 0.9151 0.8968 0.0182 0.3499 0.3341 0.0500 0.3500 0.3076 0.8076
0.1515 0.0455 0.9090 0.8897 0.0193 0.3499 0.3330 0.0500 0.3500 0.3045 0.8045
0.1616 0.0485 0.9029 0.8825 0.0204 0.3499 0.3319 0.0500 0.3500 0.3015 0.8015
0.1717 0.0515 0.8969 0.8754 0.0214 0.3499 0.3307 0.0500 0.3500 0.2985 0.7985
0.1818 0.0545 0.8908 0.8684 0.0225 0.3500 0.3296 0.0500 0.3500 0.2955 0.7955
0.1919 0.0576 0.8848 0.8613 0.0235 0.3500 0.3285 0.0500 0.3500 0.2924 0.7924
0.2020 0.0606 0.8787 0.8543 0.0245 0.3500 0.3273 0.0500 0.3500 0.2894 0.7894
0.2121 0.0636 0.8726 0.8473 0.0253 0.3499 0.3262 0.0500 0.3500 0.2864 0.7864
0.2222 0.0667 0.8667 0.8403 0.0263 0.3500 0.3251 0.0500 0.3500 0.2833 0.7833
0.2323 0.0697 0.8605 0.8334 0.0271 0.3499 0.3239 0.0500 0.3500 0.2803 0.7803
0.2424 0.0727 0.8545 0.8265 0.0280 0.3500 0.3228 0.0500 0.3500 0.2773 0.7773
0.2525 0.0758 0.8484 0.8196 0.0288 0.3500 0.3216 0.0500 0.3500 0.2742 0.7742
0.2626 0.0788 0.8424 0.8128 0.0296 0.3499 0.3205 0.0500 0.3500 0.2712 0.7712
0.2727 0.0818 0.8363 0.8060 0.0304 0.3500 0.3194 0.0500 0.3500 0.2682 0.7682
0.2828 0.0848 0.8303 0.7992 0.0311 0.3500 0.3182 0.0500 0.3500 0.2652 0.7652
0.2929 0.0879 0.8242 0.7924 0.0318 0.3500 0.3171 0.0500 0.3500 0.2621 0.7621
0.3030 0.0909 0.8182 0.7857 0.0325 0.3500 0.3160 0.0500 0.3500 0.2591 0.7591
0.3131 0.0939 0.8121 0.7790 0.0331 0.3500 0.3148 0.0500 0.3500 0.2561 0.7561
0.3232 0.0970 0.8060 0.7723 0.0337 0.3500 0.3137 0.0500 0.3500 0.2530 0.7530
0.3333 0.1000 0.8000 0.7657 0.0343 0.3499 0.3126 0.0500 0.3500 0.2500 0.7500
0.3434 0.1030 0.7939 0.7591 0.0348 0.3499 0.3114 0.0500 0.3500 0.2470 0.7470
0.3535 0.1061 0.7879 0.7525 0.0354 0.3500 0.3103 0.0500 0.3500 0.2439 0.7439
