s FRR FAR loss leak theft safe FAR_opt FRR_opt FAR_eer FRR_eer
0.0000 0.0000 1.0000 0.0000 1.0000 0.0000 0.0000 0.1217 0.1852 0.1542 0.1552
0.0010 0.0000 1.0000 0.0000 1.0000 0.0000 0.0000 0.1217 0.1852 0.1542 0.1552
0.0020 0.0000 1.0000 0.0000 1.0000 0.0000 0.0000 0.1217 0.1852 0.1542 0.1552
0.0030 0.0000 1.0000 0.0000 1.0000 0.0000 0.0000 0.1217 0.1852 0.1542 0.1552
0.0040 0.0000 1.0000 0.0000 1.0000 0.0000 0.0000 0.1217 0.1852 0.1542 0.1552
0.0050 0.0000 1.0000 0.0000 1.0000 0.0000 0.0000 0.1217 0.1852 0.1542 0.1552
0.0060 0.0000 1.0000 0.0000 1.0000 0.0000 0.0000 0.1217 0.1852 0.1542 0.1552
0.0070 0.0000 1.0000 0.0000 1.0000 0.0000 0.0000 0.1217 0.1852 0.1542 0.1552
0.0080 0.0000 1.0000 0.0000 1.0000 0.0000 0.0000 0.1217 0.1852 0.1542 0.1552
0.0090 0.0000 1.0000 0.0000 1.0000 0.0000 0.0000 0.1217 0.1852 0.1542 0.1552
0.0100 0.0000 1.0000 0.0000 1.0000 0.0000 0.0000 0.1217 0.1852 0.1542 0.1552
0.0110 0.0000 1.0000 0.0000 1.0000 0.0000 0.0000 0.1217 0.1852 0.1542 0.1552
0.0120 0.0000 1.0000 0.0000 1.0000 0.0000 0.0000 0.1217 0.1852 0.1542 0.1552
0.0130 0.0000 1.0000 0.0000 1.0000 0.0000 0.0000 0.1217 0.1852 0.1542 0.1552
0.0140 0.0000 1.0000 0.0000 1.0000 0.0000 0.0000 0.1217 0.1852 0.1542 0.1552
0.0150 0.0000 1.0000 0.0000 1.0000 0.0000 0.0000 0.1217 0.1852 0.1542 0.1552
0.0160 0.0000 1.0000 0.0000 1.0000 0.0000 0.0000 0.1217 0.1852 0.1542 0.1552
0.0170 0.0000 1.0000 0.0000 1.0000 0.0000 0.0000 0.1217 0.1852 0.1542 0.1552
0.0180 0.0000 1.0000 0.0000 1.0000 0.0000 0.0000 0.1217 0.1852 0.1542 0.1552
0.0190 0.0000 1.0000 0.0000 1.0000 0.0000 0.0000 0.1217 0.1852 0.1542 0.1552
0.0200 0.0000 1.0000 0.0000 1.0000 0.0000 0.0000 0.1217 0.1852 0.1542 0.1552
0.0210 0.0000 1.0000 0.0000 1.0000 0.0000 0.0000 0.1217 0.1852 0.1542 0.1552
0.0220 0.0000 1.0000 0.0000 1.0000 0.0000 0.0000 0.1217 0.1852 0.1542 0.1552
0.0230 0.0000 1.0000 0.0000 1.0000 0.0000 0.0000 0.1217 0.1852 0.1542 0.1552
0.0240 0.0000 1.0000 0.0000 1.0000 0.0000 0.0000 0.1217 0.1852 0.1542 0.1552
0.0250 0.0000 1.0000 0.0000 1.0000 0.0000 0.0000 0.1217 0.1852 0.1542 0.1552
