s PU PA
0.0000 0.0000 0.0000
0.0010 0.0000 0.0000
0.0020 0.0000 0.0000
0.0030 0.0000 0.0000
0.0040 0.0000 0.0000
0.0050 0.0000 0.0000
0.0060 0.0000 0.0000
0.0070 0.0000 0.0000
0.0080 0.0000 0.0000
0.0090 0.0000 0.0000
0.0100 0.0000 0.0000
0.0110 0.0000 0.0000
0.0120 0.0000 0.0000
0.0130 0.0000 0.0000
0.0140 0.0000 0.0000
0.0150 0.0000 0.0000
0.0160 0.0000 0.0000
0.0170 0.0000 0.0000
0.0180 0.0000 0.0000
0.0190 0.0000 0.0000
0.0200 0.0000 0.0000
0.0210 0.0000 0.0000
0.0220 0.0000 0.0000
0.0230 0.0000 0.0000
0.0240 0.0000 0.0000
0.0250 0.0000 0.0000
0.0260 0.0000 0.0000
0.0270 0.0000 0.0000
0.0280 0.0000 0.0000
0.0290 0.0000 0.0000
0.0300 0.0000 0.0000
0.0310 0.0000 0.0000
0.0320 0.0000 0.0000
0.0330 0.0000 0.0000
0.0340 0.0000 0.0000
0.0350 0.0000 0.0000
0.0360 0.0000 0.0000
0.0370 0.0000 0.0000
0.0380 0.0000 0.0000
0.0390 0.0000 0.0000
0.0400 0.0000 0.0000
0.0410 0.0000 0.0000
0.0420 0.0000 0.0000
0.0430 0.0000 0.0000
0.0440 0.0000 0.0000
0.0450 0.0000 0.0000
0.0460 0.0000 0.0000
0.0470 0.0000 0.0000
0.0480 0.0000 0.0000
0.0490 0.0000 0.0000
0.0501 0.0000 3.3333
0.0511 0.0000 3.3333
0.0521 0.0000 3.3333
0.0531 0.0000 3.3333
0.0541 0.0000 3.3333
0.0551 0.0000 3.3333
0.0561 0.0000 3.3333
0.0571 0.0000 3.3333
0.0581 0.0000 3.3333
0.0591 0.0000 3.3333
0.0601 0.0000 3.3333
0.0611 0.0000 3.3333
0.0621 0.0000 3.3333
0.0631 0.0000 3.3333
0.0641 0.0000 3.3333
0.0651 0.0000 3.3333
0.0661 0.0000 3.3333
0.0671 0.0000 3.3333
0.0681 0.0000 3.3333
0.0691 0.0000 3.3333
0.0701 0.0000 3.3333
0.0711 0.0000 3.3333
0.0721 0.0000 3.3333
0.0731 0.0000 3.3333
0.0741 0.0000 3.3333
0.0751 0.0000 3.3333
0.0761 0.0000 3.3333
0.0771 0.0000 3.3333
0.0781 0.0000 3.3333
0.0791 0.0000 3.3333
0.0801 0.0000 3.3333
0.0811 0.0000 3.3333
0.0821 0.0000 3.3333
0.0831 0.0000 3.3333
0.0841 0.0000 3.3333
0.0851 0.0000 3.3333
0.0861 0.0000 3.3333
0.0871 0.0000 3.3333
0.0881 0.0000 3.3333
0.0891 0.0000 3.3333
0.0901 0.0000 3.3333
0.0911 0.0000 3.3333
0.0921 0.0000 3.3333
0.0931 0.0000 3.3333
0.0941 0.0000 3.3333
0.0951 0.0000 3.3333
0.0961 0.0000 3.3333
0.0971 0.0000 3.3333
0.0981 0.0000 3.3333
0.0991 0.0000 3.3333
0.1001 0.0000 3.3333
0.1011 0.0000 3.3333
0.1021 0.0000 3.3333
0.1031 0.0000 3.3333
0.1041 0.0000 3.3333
0.1051 0.0000 3.3333
0.1061 0.0000 3.3333
0.1071 0.0000 3.3333
0.1081 0.0000 3.3333
0.1091 0.0000 3.3333
0.1101 0.0000 3.3333
0.1111 0.0000 3.3333
0.1121 0.0000 3.3333
0.1131 0.0000 3.3333
0.1141 0.0000 3.3333
0.1151 0.0000 3.3333
0.1161 0.0000 3.3333
0.1171 0.0000 3.3333
0.1181 0.0000 3.3333
0.1191 0.0000 3.3333
0.1201 0.0000 3.3333
0.1211 0.0000 3.3333
0.1221 0.0000 3.3333
0.1231 0.0000 3.3333
0.1241 0.0000 3.3333
0.1251 0.0000 3.3333
0.1261 0.0000 3.3333
0.1271 0.0000 3.3333
0.1281 0.0000 3.3333
0.1291 0.0000 3.3333
0.1301 0.0000 3.3333
0.1311 0.0000 3.3333
0.1321 0.0000 3.3333
0.1331 0.0000 3.3333
0.1341 0.0000 3.3333
0.1351 0.0000 3.3333
0.1361 0.0000 3.3333
0.1371 0.0000 3.3333
0.1381 0.0000 3.3333
0.1391 0.0000 3.3333
0.1401 0.0000 3.3333
0.1411 0.0000 3.3333
0.1421 0.0000 3.3333
0.1431 0.0000 3.3333
0.1441 0.0000 3.3333
0.1451 0.0000 3.3333
0.1461 0.0000 3.3333
0.1471 0.0000 3.3333
0.1481 0.0000 3.3333
0.1491 0.0000 3.3333
0.1502 0.0000 3.3333
0.1512 0.0000 3.3333
0.1522 0.0000 3.3333
0.1532 0.0000 3.3333
0.1542 0.0000 3.3333
0.1552 0.0000 3.3333
0.1562 0.0000 3.3333
0.1572 0.0000 3.3333
0.1582 0.0000 3.3333
0.1592 0.0000 3.3333
0.1602 0.0000 3.3333
0.1612 0.0000 3.3333
0.1622 0.0000 3.3333
0.1632 0.0000 3.3333
0.1642 0.0000 3.3333
0.1652 0.0000 3.3333
0.1662 0.0000 3.3333
0.1672 0.0000 3.3333
0.1682 0.0000 3.3333
0.1692 0.0000 3.3333
0.1702 0.0000 3.3333
0.1712 0.0000 3.3333
0.1722 0.0000 3.3333
0.1732 0.0000 3.3333
0.1742 0.0000 3.3333
0.1752 0.0000 3.3333
0.1762 0.0000 3.3333
0.1772 0.0000 3.3333
0.1782 0.0000 3.3333
0.1792 0.0000 3.3333
0.1802 0.0000 3.3333
0.1812 0.0000 3.3333
0.1822 0.0000 3.3333
0.1832 0.0000 3.3333
0.1842 0.0000 3.3333
0.1852 0.0000 3.3333
