s PU_case1 PA_case1 PU_case2 PA_case2 PU_case3 PA_case3
0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0010 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0020 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0030 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0040 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0050 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0060 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0070 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0080 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0090 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0100 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0110 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0120 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0130 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0140 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0150 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0160 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0170 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0180 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0190 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0200 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0210 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0220 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0230 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0240 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0250 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0260 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0270 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0280 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0290 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0300 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0310 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0320 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0330 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0340 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0350 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0360 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0370 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0380 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0390 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0400 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0410 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0420 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0430 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0440 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0450 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0460 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0470 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0480 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0490 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0501 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0511 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0521 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0531 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0541 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0551 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0561 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0571 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0581 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0591 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0601 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0611 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0621 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0631 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0641 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0651 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0661 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0671 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0681 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0691 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0701 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0711 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0721 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0731 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0741 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0751 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0761 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0771 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0781 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0791 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0801 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0811 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0821 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0831 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0841 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0851 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0861 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0871 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0881 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0891 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
